"","age","pCO2","pCO2_sd","pCO2_rhat","pCO2_n.eff","MAT","MAT_sd","MAT_rhat","MAT_n.eff","PCQ_to","PCQ_to_sd","PCQ_to_rhat","PCQ_to_n.eff","tsc","tsc_sd","tsc_rhat","tsc_n.eff","MAP","MAP_sd","MAP_rhat","MAP_n.eff","PCQ_pf","PCQ_pf_sd","PCQ_pf_rhat","PCQ_pf_n.eff","Tsoil","Tsoil_sd","Tsoil_rhat","Tsoil_n.eff","S_z","S_z_sd","S_z_rhat","S_z_n.eff","f_R","f_R_sd","f_R_rhat","f_R_n.eff","spre","spre_sd","spre_rhat","spre_n.eff","pore","pore_sd","pore_rhat","pore_n.eff","temp_diff","temp_diff_sd","temp_diff_rhat","temp_diff_n.eff"
"1",0.021,348.803047837675,128.193177585369,1.00093368052321,3000,8.55915093037978,3.36930892789625,1.00198202105584,1400,10.7170182074589,2.29009257376344,1.00122488210691,2800,0.279886919086982,0.159116107881956,1.00175697822072,2700,672.123334881238,209.88954957041,1.00229040677412,1100,0.477505916847759,0.140114680196236,1.00053626243408,3000,10.9736242058647,5.14723771176836,1.00208109081881,1300,2544.68057911221,3244.63502877792,1.00200639114059,1400,0.140826224171525,0.0724531304462774,1.0010349384358,3000,0.557581421182657,0.0722397858266139,1.00109221742802,3000,0.494004919361981,0.0258422223755518,1.00082866619019,3000,4.97356068588874,2.90812521427467,1.00081638549971,3000
"2",0.026,327.569360892115,125.140196596771,1.00434467577628,520,7.76991670607904,3.08850492419909,1.00055734289142,3000,10.780560949764,2.3059725782641,1.00061450479784,3000,0.342291633936082,0.153766658446828,1.00166677860042,1700,709.242081704417,195.33872679608,1.00119432361995,2900,0.470603054383637,0.148231828902072,1.00251656117438,990,10.8342247557645,4.5160823506171,1.00064707409734,3000,3625.37727059718,7375.59870296373,1.0007677855564,3000,0.15417896068854,0.0753290003407749,1.0014486711478,3000,0.561840901627879,0.0707286074964222,1.00205365396928,1300,0.492480302438925,0.0261134284845306,1.00110577116207,3000,5.00319014841303,2.9012059819432,1.00174866546139,3000
"3",0.07,348.07184816971,127.97244339513,1.00157224825812,2600,8.51900562350637,3.35553874182606,1.00091656261015,3000,10.7419869378024,2.32690276703859,1.00054686544832,3000,0.287076577528466,0.159223130729529,1.00143637653986,2500,655.18230579149,210.66065901447,1.00085570302973,3000,0.463690454230414,0.136704898322549,1.00153810069228,1900,11.1234504065049,5.02093653005723,1.00115413858066,3000,1874.70241521296,1160.03400586469,1.00107073377625,3000,0.138091866490172,0.0690793461017304,1.00067047655185,3000,0.556986480194403,0.069404875782998,1.0014213690277,2200,0.494099539635564,0.0256594389453511,1.0014155082904,2200,5.01981399744837,2.88242140745133,1.00108498128315,3000
"4",0.136,331.028235555095,126.624654989912,1.00313967382029,760,7.99351687900218,3.23195364987638,1.00087227949649,3000,10.7818140337493,2.32894747349961,1.00066588303869,3000,0.337156205279969,0.154179326155385,1.00150984364191,3000,694.366362844263,198.161915184715,1.00056526007125,3000,0.483702585130318,0.157021919579125,1.00149739745416,2000,11.0425019149483,4.70292917323783,1.00106765462826,3000,4379.56159935505,10896.3117046211,1.00329812105506,1300,0.152987071863829,0.0770602548740812,1.00125075439974,3000,0.560993699467385,0.0718057046684994,1.0021215878327,1300,0.491665742426726,0.0256603964026053,1.00221440644895,1200,4.9702527437381,2.89424469020448,1.00137001434676,2300
"5",0.139,327.704522435477,127.182740539348,1.0008475030034,3000,7.36573657635474,2.9191675525254,1.00152932372225,1900,10.8751314454526,2.35324653681648,1.00363936034464,640,0.374789152362348,0.1396325927585,1.00497107149922,1800,722.967450567345,190.100484232667,1.0008767641038,3000,0.480148195523969,0.157451099338284,1.00076934372733,3000,10.7510882682416,4.19631314643088,1.00093279771288,3000,4990.33543794109,12330.7229805404,1.0006430294969,3000,0.156619995779692,0.0768429838671512,1.00117332889855,3000,0.561447741650083,0.0694534831703984,1.00094772297672,3000,0.491011070155094,0.0256416970335078,1.00124820901846,2700,4.99584443452848,2.87778196488637,1.00150112059668,2000
"6",0.143,331.844631460836,125.607279614839,1.00110546145037,3000,7.67995971570635,3.03229898918976,1.00072981868678,3000,10.7454558153674,2.31160760743683,1.00254087123045,980,0.334465371105938,0.151359412637171,1.00210486586498,1900,691.461179065523,194.138077386959,1.00080659143535,3000,0.454670854335029,0.132729386032961,1.00133783095941,2400,10.826367757228,4.50035222808262,1.00069353753003,3000,2551.52105578527,3759.30730629682,1.00100793023514,3000,0.150798151516001,0.0728107444063273,1.00087425975012,3000,0.562543941707473,0.0698393031160616,1.00124916276873,3000,0.492204113903028,0.0257257456225492,1.00070171413736,3000,4.96681048101013,2.88962390140243,1.00085394741635,3000
"7",0.15,341.635031890571,126.621567264634,1.00142503999724,2200,8.29819605566467,3.2746867595844,1.00072015665621,3000,10.7362133910324,2.2726590541034,1.00196034623197,1400,0.301743982463245,0.155523318416386,1.00079104105994,3000,661.203872106456,205.275147427629,1.00069586847028,3000,0.460997126107503,0.136207775698077,1.00148809577146,2000,11.1304142489157,4.97084607212262,1.00050276582568,3000,2074.97508580338,1698.47509292962,1.00088717486737,3000,0.142890986073491,0.0703225996238786,1.00288832980581,930,0.558975817019286,0.0701976136058056,1.00120747159545,2800,0.493422829518424,0.0260086956794738,1.00055679055502,3000,5.00709131332681,2.87112740740135,1.0006528264705,3000
"8",0.179,353.146989270626,128.244918872709,1.00068753535376,3000,8.61880961627401,3.37275396409234,1.00123992782009,2700,10.6331656994291,2.3293039859195,1.00126783154009,2600,0.281697364822036,0.157157107814546,1.0028711692331,1200,635.931989678566,211.963876690514,1.00210131113987,1700,0.469083184678485,0.138551867997529,1.00085746600938,3000,11.2028088656492,5.04315694354322,1.00195184852022,1400,1784.86037855127,1268.30150497939,1.00249654837961,1000,0.133975215464539,0.0683063971652726,1.00139461529546,2200,0.556427749550955,0.0697585194172116,1.00090841427299,3000,0.494669662823872,0.0256851938499843,1.00063197994733,3000,5.05858168240663,2.88679907178375,1.00154915786061,1900
"9",0.259,342.921422864512,125.116820677702,1.00090628156237,3000,10.8601198596841,3.14122893737109,1.00194012986468,1400,11.2979520851401,2.28826722862253,1.00291200558726,830,0.370386096379103,0.103328503538153,1.00069934298582,3000,594.239515107496,210.740255509442,1.00270550153863,910,0.404055561827251,0.0963278900683057,1.00143002157854,2100,15.6894045144238,3.51849675185496,1.00216073575215,1200,1300.60324489044,618.808076556734,1.00051377001595,3000,0.143429413860363,0.0697216516696884,1.00231388745586,1100,0.562234593048236,0.0692479665097414,1.00157803714389,1900,0.493491539616925,0.0255902389764903,1.0011486286768,3000,5.00235196777061,2.9025166618597,1.0010471271364,3000
"10",0.28,338.172390845836,125.843876845545,1.00327765378667,720,10.2729959794351,3.04324178048996,1.0105299956047,250,11.4604812450356,2.2630374237346,1.00110202882177,3000,0.394444728210322,0.0902662922674055,1.02175264355709,3000,651.786327423403,201.632367781032,1.00196334965366,1700,0.391365192724397,0.0902980406564828,1.00224984768245,1100,15.1264931771447,3.35718582712927,1.00654591357727,460,1498.40577160877,720.761467013453,1.00186725390961,1500,0.150511068815312,0.0720912982841964,1.00158506907396,1800,0.569432681699035,0.0692787191352531,1.00090779259557,3000,0.492668888492915,0.0258538330118618,1.00055320189372,3000,4.91450198846191,2.84537428299632,1.00144323253958,2900
