"","age","pCO2","pCO2_sd","pCO2_rhat","pCO2_n.eff","MAT","MAT_sd","MAT_rhat","MAT_n.eff","PCQ_to","PCQ_to_sd","PCQ_to_rhat","PCQ_to_n.eff","tsc","tsc_sd","tsc_rhat","tsc_n.eff","MAP","MAP_sd","MAP_rhat","MAP_n.eff","PCQ_pf","PCQ_pf_sd","PCQ_pf_rhat","PCQ_pf_n.eff","Tsoil","Tsoil_sd","Tsoil_rhat","Tsoil_n.eff","S_z","S_z_sd","S_z_rhat","S_z_n.eff","f_R","f_R_sd","f_R_rhat","f_R_n.eff","spre","spre_sd","spre_rhat","spre_n.eff","pore","pore_sd","pore_rhat","pore_n.eff","temp_diff","temp_diff_sd","temp_diff_rhat","temp_diff_n.eff"
"1",0.021,325.006670716977,123.844071554388,1.00190125870939,1400,9.20777820883862,3.58911244232476,1.00089508357567,3000,10.8111582601357,2.29264736658053,1.00083833201094,3000,0.306090383292028,0.149995660930879,1.00110466478947,3000,410.572337330196,92.5691262819198,1.00084549977278,3000,0.506382525849309,0.155887158668231,1.00059776822157,3000,13.0099033542046,5.13950375834928,1.00056775510581,3000,1310.40035202404,869.27182692456,1.00075711689223,3000,0.157604038475171,0.0721478818950676,1.00373723732514,1300,0.556931807045887,0.0701675657700693,1.00116042551369,3000,0.492762165761058,0.0258701195297089,1.00150813948639,2000,4.93619594897638,2.85861829376405,1.00052485318308,3000
"2",0.026,320.895071267633,122.103724412864,1.00057339739729,3000,7.91678263339386,3.16720686182689,1.00083490379868,3000,10.8966203349676,2.3268786408771,1.00066891260143,3000,0.350132996675615,0.141708533324662,1.00158302460083,3000,498.688411998317,84.6344242670817,1.00074793537649,3000,0.477157600349576,0.144650332553029,1.00060678104732,3000,11.8856798658505,4.49076677203762,1.00052667190136,3000,1667.50267367772,1551.95889536324,1.00171061633682,1700,0.160386313974476,0.0705618830084006,1.00166206391637,3000,0.560816011298992,0.0702475952396025,1.00164514624355,1700,0.491539143768032,0.02586579169618,1.00087735272974,3000,5.11348360062997,2.89553705430818,1.00081493407531,3000
"3",0.07,311.448401270409,120.81834787451,1.00099224976164,3000,9.12419276232454,3.52506917416362,1.00321620401992,740,10.891263466783,2.30763980731971,1.00120855968099,2800,0.314152777148784,0.144206312421436,1.00102590171335,3000,353.328351867756,92.8108260408876,1.00166576429942,1700,0.505691904362477,0.157987509236085,1.00581398117189,380,13.3874564993294,5.01906608850223,1.0017674591956,1600,1111.89245661497,553.808361874102,1.00366119074586,630,0.169363525705538,0.0736343833209147,1.00121998588628,3000,0.559709059130073,0.0715577969306225,1.00058674504147,3000,0.490680808957914,0.0257512813575709,1.00109005217028,3000,5.02093647762425,2.89192661296415,1.00109088447588,3000
"4",0.136,291.975560829768,116.748367599954,1.00077053257844,3000,8.69361075194231,3.4317384179609,1.00135545788701,2300,11.0595040182359,2.33027187358337,1.00128300526418,2600,0.338362573487355,0.140565079072826,1.01860396892328,390,360.826471129036,93.0718862234951,1.00075973591379,3000,0.502366773642703,0.172169378597676,1.00057231089558,3000,13.2772193346865,4.93640126350855,1.00644912101821,1200,1505.06815460613,2015.6142170101,1.00441087439,1600,0.182993093969807,0.0789118305134665,1.00164669060272,1700,0.5623505664826,0.0704764470409738,1.00118983418388,3000,0.490217441117767,0.0259705695046862,1.00090197520232,3000,4.93805176174513,2.84252327389825,1.0005447982738,3000
"5",0.139,290.843264055937,116.414684533306,1.00091694833724,3000,8.11389901012315,3.29725423224426,1.00077795989626,3000,11.1532649530293,2.33010392856234,1.00096088517871,3000,0.376422222412256,0.123397216647581,1.00090895033839,3000,397.589919278909,95.5600871941476,1.00138146881537,2300,0.49248765025417,0.168150011210402,1.00067360281766,3000,12.8737950134928,4.51121981186609,1.00091163292068,3000,1583.10529551351,2109.55531620738,1.00087636375668,3000,0.183462918003985,0.079202521368613,1.00135418122406,3000,0.56721738544071,0.0704668123328997,1.00060469244686,3000,0.490364927008675,0.0258907758972746,1.00229777702691,1100,5.04669084578696,2.87184704930773,1.000529427051,3000
"6",0.143,309.759092730973,121.552986687972,1.00119686760411,2900,8.26923502481604,3.34217477871953,1.0014289914543,2200,10.9863015718272,2.31628999189963,1.00067876819483,3000,0.350047099409113,0.137326019732412,1.00413025904056,2200,418.544877716106,92.648979054199,1.00056922397958,3000,0.482383665259129,0.153701306783911,1.00085655271564,3000,12.6516380609257,4.65867875438096,1.00194366583259,1600,1328.00931091288,810.1429682264,1.00105674019407,3000,0.16870962702954,0.074885372001216,1.00219487145345,1200,0.561324866879648,0.0693833364576045,1.00215674478017,1200,0.491766680902433,0.0259873413850727,1.00204701758899,1300,4.97467378927498,2.94646746960326,1.00314551989661,1500
"7",0.15,306.19138638431,118.002394251168,1.00203970720744,1300,9.10727022494442,3.57084407456197,1.00057706416709,3000,10.9154106887856,2.28095457661884,1.00108007497006,3000,0.32700053441526,0.142002795927878,1.00061878113504,3000,357.48933300221,92.7904079055802,1.00193985242498,1400,0.499215072527487,0.160503491996399,1.00055906972258,3000,13.4934985530856,4.92421147052391,1.00069706434339,3000,1100.02437637696,613.748907763097,1.00085352509256,3000,0.168799256600227,0.0740374122343781,1.00084679370177,3000,0.560868918348138,0.0703586019782027,1.00113945476879,3000,0.492669013842807,0.0259210946560362,1.00080177392671,3000,5.06407591658991,2.89639826489859,1.00447931143643,1300
"8",0.179,324.972373368942,123.079946141709,1.00215442028785,1200,9.33841997131695,3.53480600378272,1.00166929344356,1700,10.8539397226868,2.31509783331339,1.00073791160087,3000,0.303506323218912,0.14625399452461,1.00063650119517,3000,357.906224010096,93.564329749504,1.00171561515968,1600,0.497508025860036,0.152282440015109,1.00055975837114,3000,13.4667218168488,5.05330463743035,1.00150904554263,3000,1035.51697989944,714.498049350783,1.00092519819525,3000,0.159810053888655,0.0706798168099533,1.00242318792048,1000,0.557545398793046,0.0692284963175868,1.00268651825914,920,0.491166358409423,0.0255688935072839,1.00052797831437,3000,4.99670438641813,2.85130486951956,1.00530550949021,3000
"9",0.259,319.81445713956,119.076001166488,1.00105365738989,3000,10.8665957723989,3.12712894685697,1.00067842290463,3000,11.4139222946539,2.27326197336089,1.00100879463713,3000,0.354421806420843,0.107285826878433,1.00496260197119,2300,365.429829346079,90.3106483352867,1.0010302788248,3000,0.424034015404703,0.11317779777063,1.00104957460565,3000,16.5139861998864,3.34940455396885,1.00092325952545,3000,907.458858467366,376.76813600136,1.00099367931897,3000,0.165756967309814,0.0691208060435878,1.00082909367103,3000,0.567479765798168,0.0693383229477966,1.0023752162281,1100,0.491827233552769,0.025367439476278,1.00084801961219,3000,5.01845493069403,2.86246569049794,1.00385306715829,860
"10",0.28,308.941328763144,116.793094064169,1.00142781799542,2200,10.0239880431695,3.13333722796312,1.00073104859663,3000,11.5817045350795,2.25874583507142,1.00214335800595,1200,0.373747894122915,0.0972407974184506,1.00965352384931,1300,423.468626654751,89.1957766883304,1.00227615462126,1900,0.403949532352277,0.099210189130418,1.00198070230216,1400,15.693786083576,3.3035470030503,1.00192041736741,1400,1022.73646882802,438.796755267729,1.00201396102824,1300,0.171156688604659,0.0701397267057051,1.00103829407754,3000,0.571204999838237,0.0712574521909594,1.00090490923517,3000,0.491772845174397,0.0258857461134144,1.00116788174747,3000,5.00451361738007,2.91047866388938,1.00087033739732,3000
"11",0.294,308.273619011622,115.730949431109,1.00101612001489,3000,10.0897612103468,3.15281547952607,1.00149144454284,2000,11.5190022935631,2.2618251673543,1.00082428655305,3000,0.365685243038874,0.0986318150212039,1.00377202036642,3000,382.95891792802,90.1304871311682,1.00071946585924,3000,0.407905532562725,0.105962235712061,1.00122312060682,2800,15.9183722759479,3.3135655407102,1.00125509006485,2600,891.271704614933,371.125754257421,1.00094263801449,3000,0.166320132413906,0.0682214455568642,1.00310687576168,770,0.569266286605375,0.0693145675415835,1.0006570450889,3000,0.491699456557273,0.025915322049478,1.00059670752148,3000,4.94898813814361,2.91014028413839,1.00073326319229,3000
