"","age","ice_forcing"
"267",2.314,-1.61
"268",2.313,-1.56
"269",2.312,-1.49
"270",2.311,-1.41
"271",2.31,-1.27
"272",2.309,-1.07
"273",2.308,-0.86
"274",2.307,-0.62
"275",2.306,-0.45
"276",2.305,-0.35
"277",2.304,-0.3
"278",2.303,-0.28
"279",2.302,-0.26
"280",2.301,-0.25
"281",2.3,-0.24
"282",2.299,-0.23
"283",2.298,-0.24
"284",2.297,-0.27
"285",2.296,-0.32
"286",2.295,-0.37
"287",2.294,-0.45
"288",2.293,-0.55
"289",2.292,-0.72
"290",2.291,-0.95
"291",2.29,-1.16
"292",2.289,-1.34
"293",2.288,-1.48
"294",2.287,-1.57
"295",2.286,-1.66
"296",2.285,-1.73
"297",2.284,-1.79
"298",2.283,-1.84
"299",2.282,-1.86
"300",2.281,-1.86
"301",2.28,-1.86
"302",2.279,-1.85
"303",2.278,-1.85
"304",2.277,-1.83
"305",2.276,-1.78
"306",2.275,-1.69
"307",2.274,-1.54
"308",2.273,-1.35
"309",2.272,-1.14
"310",2.271,-0.93
"311",2.27,-0.75
"312",2.269,-0.61
"313",2.268,-0.49
"314",2.267,-0.41
"315",2.266,-0.34
"316",2.265,-0.28
"317",2.264,-0.22
"318",2.263,-0.17
"319",2.262,-0.14
"320",2.261,-0.11
"321",2.26,-0.13
"322",2.259,-0.17
"323",2.258,-0.2
"324",2.257,-0.22
"325",2.256,-0.25
"326",2.255,-0.27
"327",2.254,-0.31
"328",2.253,-0.37
"329",2.252,-0.48
"330",2.251,-0.64
"331",2.25,-0.89
"332",2.249,-1.25
"333",2.248,-1.51
"334",2.247,-1.66
"335",2.246,-1.8
"336",2.245,-1.93
"337",2.244,-2.04
"338",2.243,-2.13
"339",2.242,-2.19
"340",2.241,-2.23
"341",2.24,-2.23
"342",2.239,-2.18
"343",2.238,-2.03
"344",2.237,-1.79
"345",2.236,-1.51
"346",2.235,-1.19
"347",2.234,-0.94
"348",2.233,-0.77
"349",2.232,-0.64
"350",2.231,-0.54
"351",2.23,-0.49
"352",2.229,-0.47
"353",2.228,-0.46
"354",2.227,-0.45
"355",2.226,-0.45
"356",2.225,-0.45
"357",2.224,-0.44
"358",2.223,-0.41
"359",2.222,-0.45
"360",2.221,-0.55
"361",2.22,-0.68
"362",2.219,-0.83
"363",2.218,-0.93
"364",2.217,-0.96
"365",2.216,-0.99
"366",2.215,-1.01
"367",2.214,-0.98
"368",2.213,-0.91
"369",2.212,-0.88
"370",2.211,-0.89
"371",2.21,-0.91
"372",2.209,-0.94
"373",2.208,-1.05
"374",2.207,-1.22
"375",2.206,-1.4
"376",2.205,-1.61
"377",2.204,-1.76
"378",2.203,-1.85
"379",2.202,-1.91
"380",2.201,-1.94
"381",2.2,-1.95
"382",2.199,-1.93
"383",2.198,-1.9
"384",2.197,-1.87
"385",2.196,-1.82
"386",2.195,-1.76
"387",2.194,-1.68
"388",2.193,-1.6
"389",2.192,-1.42
"390",2.191,-1.14
"391",2.19,-0.89
"392",2.189,-0.64
"393",2.188,-0.48
"394",2.187,-0.39
"395",2.186,-0.34
"396",2.185,-0.34
"397",2.184,-0.34
"398",2.183,-0.34
"399",2.182,-0.35
"400",2.181,-0.35
"401",2.18,-0.37
"402",2.179,-0.4
"403",2.178,-0.43
"404",2.177,-0.49
"405",2.176,-0.6
"406",2.175,-0.74
"407",2.174,-0.89
"408",2.173,-1.05
"409",2.172,-1.19
"410",2.171,-1.29
"411",2.17,-1.37
"412",2.169,-1.42
"413",2.168,-1.49
"414",2.167,-1.57
"415",2.166,-1.66
"416",2.165,-1.77
"417",2.164,-1.89
"418",2.163,-2.05
"419",2.162,-2.2
"420",2.161,-2.37
"421",2.16,-2.51
"422",2.159,-2.61
"423",2.158,-2.69
"424",2.157,-2.73
"425",2.156,-2.78
"426",2.155,-2.85
"427",2.154,-2.89
"428",2.153,-2.92
"429",2.152,-2.88
"430",2.151,-2.79
"431",2.15,-2.67
