age,co2
3.3152825999991365e-7,313.6602846482332
1.2259453199999374e-6,309.6939936066409
2.2935130999999274e-6,311.57094999761165
3.3366031699999892e-6,310.36290017732523
3.3731399599998895e-6,312.8663621464335
4.38416084000005e-6,312.5596867804179
4.4427798300000635e-6,311.9671347125998
4.612611269999888e-6,311.8114965345337
5.037190190000047e-6,310.440204448011
5.23567707999996e-6,311.2775834649954
5.490957340000022e-6,310.224309572614
6.426352059999999e-6,312.36164019507424
7.792658919999895e-6,311.878053578341
7.964587149999943e-6,312.8437329659678
8.22030175000009e-6,312.393938618938
9.160584629999906e-6,311.80226771747726
9.245991239999967e-6,307.7386635857962
1.0030999999999947e-5,309.80091502114107
1.0408172680000008e-5,310.9510867188181
1.0777514919999931e-5,311.21179432912515
1.103227736000008e-5,310.4566675193962
1.1838400000000093e-5,308.47982780846024
1.1870147509999924e-5,311.94102882822733
1.2132119869999997e-5,311.52050972739016
1.2233306950000043e-5,312.3293254879136
1.313678570000002e-5,307.4076931745866
1.4126641909999987e-5,309.3446868650601
1.4290543329999992e-5,307.25859856593024
1.4943698889999952e-5,306.3197983876916
1.6123575399999936e-5,309.6306260790445
1.6406950779999987e-5,307.0755443187391
1.7219075570000086e-5,305.94402817135216
1.7462700710000036e-5,308.27919921307927
1.7706395800000108e-5,308.25556223436706
1.917030616000011e-5,305.7409186942765
2.0613674270000047e-5,305.3808267142061
2.1256399999999985e-5,305.78294147245686
2.146069323000006e-5,305.70537216677735
2.1843200000000025e-5,305.66786848134046
2.2203540369999927e-5,308.01874186181465
2.468695709000008e-5,304.96915678718324
2.5251618980000105e-5,304.7159146968185
2.7163116590000072e-5,306.19862429992156
2.7494957789999945e-5,303.1815383191544
3.02922188e-5,301.8758603769565
3.133160120000002e-5,304.61320734820134
3.2125411880000004e-5,303.85222132002366
3.4213969129999896e-5,301.9151507114715
3.560700403999999e-5,300.7000886560916
3.7484859689999895e-5,301.29772622272134
3.871498595999992e-5,299.25727749401767
3.890461155999992e-5,297.7268153632511
3.928414915000008e-5,298.10624698316605
4.023523068999998e-5,297.86910679162327
4.147609211000008e-5,301.50413540464433
4.422579999999994e-5,299.62686294971274
4.445643668999992e-5,297.32821856127947
4.4649195859999964e-5,299.0235966178361
4.609347466000008e-5,295.9913578166476
4.829812528999992e-5,295.6106368299745
