Samples_Sample_ID,Level_composite_TF,Age,d13C,d18O,D47,d13C stdev,d18O stdev,D47 stderr
BB-TF2-14-053,130,64.17931034,-10.45735853,-4.648736285,,0.019619293,0.053185211,
BB-TF2-14-064,131,64.1,-10.7,-5.2,0.6153,0.02,0.1,0.016872525
BB-TF2-14-059,131,64.12413793,-11.43415523,-5.800747857,,0.022781571,0.063152593,
BB-TF2-14-064,131,64.12413793,-10.47424137,-4.528711995,,0.059488794,0.069161646,
BB-TF2-14-065,131.5,64.09655172,-10.9102819,-5.846713726,,0.035823642,0.056240555,
BB-TF2-14-066,132.5,64.04137931,-11.2877601,-5.177340566,,0.082044703,0.052918176,
BB-TF2-14-067,134.5,63.93103448,-10.7932031,-5.249719374,,0.044211612,0.087928001,
BB-TF2-14-060,135,63.90344828,-10.5873059,-5.415561679,,0.070578561,0.050800262,
BB-TF2-14-068,135,63.90344828,-10.81767863,-4.956148018,,0.026170913,0.06429619,
BB12-103,136,63.84827586,-11.15231107,-5.516237331,,0.092158025,0.052128674,
BB12-103,136,63.84827586,-11.31313289,-5.17302536,,0.045321784,0.012925753,
BB-TF2-14-069,136,63.84827586,-10.92794465,-5.278635434,,0.033926391,0.065107603,
BB-TF2-14-062,137,63.79310345,-10.97412013,-5.372372675,,0.030869348,0.090049523,
BB-TF2-14-063,138,63.73793103,-10.4581155,-5.543320205,,0.048276979,0.04482187,
BB12-047,141,63.57241379,-11.1813478,-5.114473017,,0.038023518,0.044175462,
BB12-047,141,63.57241379,-10.79831563,-5.562977529,,0.068094889,0.068918111,
BB12-047,141,63.6,-10.5,-6.1,0.5995,0.02,0.0,0.022520025
BB12-052,155,62.8,-10.56090837,-4.908812385,,0.00992294,0.051911835,
BB12-054,158,62.662,-11.02592103,-4.222056126,,0.045104056,0.027432677,
BB12-054,158,62.662,-11.2182187,-3.913613833,,0.047634235,0.014541472,
BB12-054,158,62.662,-10.8939006,-3.795852509,,0.058550529,0.024518808,
BB12-055,159.5,62.593,-11.428674,-4.272086354,,0.032497375,0.023436245,
BB12-056,160.5,62.5,-10.3,-4.6,0.6062,0.05,0.1,0.011017806
BB12-056,160.5,62.547,-10.82979096,-4.213798536,,0.06894651,0.030134784,
BB12-058,167.5,62.225,-11.51804582,-4.245718403,,0.013584993,0.033571466,
BB12-059,171,62.064,-11.43058597,-4.280547391,,0.053461903,0.048370381,
BB12-061,177,61.788,-11.54028675,-3.876914028,,0.019341342,0.005918468,
BB12-062,178.5,61.7,-11.7,-5.4,0.6027,0.03,0.1,0.014159682
BB12-062,178.5,61.719,-11.69214302,-4.946897746,,0.04294518,0.060192008,
BB12-062,178.5,61.719,-11.96612912,-5.304889837,,0.062890881,0.039141013,
BB12-063,181,61.604,-10.95350377,-4.385487601,,0.084024544,0.022527803,
BB12-064,183.5,61.489,-10.96825543,-3.830164654,,0.071527057,0.040589612,
BB12-065,185,61.42,-10.71211369,-4.036509524,,0.052092306,0.023969475,
BB12-068,196,60.914,-10.62449146,-3.863730052,,0.041614511,0.068587604,
BB12-068,196,60.914,-10.32512991,-4.097636954,,0.04470838,0.048344005,
BB12-069,199.5,60.753,-10.23402493,-4.720952206,,0.081570757,0.068657386,
BB12-071,203,60.6,-10.3,-4.3,0.6022,0.02,0.1,0.019033295
BB12-071,203,60.592,-10.64436019,-3.757217406,,0.02345304,0.027857468,
BB12-072,205,60.5,-10.1138061,-3.560498609,,0.050191236,0.043818424,
BB12-037,221,59.90869565,-10.55380284,-5.391336508,,0.034766652,0.029168297,
BB12-037,221,59.90869565,-10.55415474,-4.216479035,,0.025855181,0.002201854,
BB12-041,227,59.68695652,-10.13394076,-3.988977822,,0.042385574,0.030823635,
BB12-041,227,59.68695652,-9.955826411,-3.559977281,,0.076009856,0.017741407,
BB12-041,227,59.7,-9.6,-4.3,0.6240,0.06,0.1,0.008638575
BB12-043,234,59.42826087,-10.17582382,-3.656949801,,0.031507761,0.034817621,
BB12-044,239,59.24347826,-10.77817542,-3.964344604,,0.015634408,0.052563288,
BB12-004,249,58.87391304,-9.619819319,-3.725912576,,0.096152129,0.044901636,
BB12-005,251,58.8,-9.376081612,-3.723848179,,0.07044397,0.008406772,
BB12-006,252.5,58.73421053,-9.93931137,-3.556335249,,0.042043923,0.048667859,
BB12-007,253.5,58.69035088,-8.61139503,-3.228123641,,0.011839143,0.043863728,
BB12-007,253.5,58.69035088,-8.77134055,-3.443069799,,0.067972684,0.082555609,
BB12-008,254.5,58.64649123,-9.946032232,-4.015960435,,0.050503874,0.012486335,
BB12-009,255.5,58.60263158,-9.176574628,-3.224307227,,0.019585526,0.045013581,
BB12-010,256,58.58070175,-9.318154232,-3.440455041,,0.027093939,0.033549946,
BB12-010,256,58.58070175,-9.164651221,-4.025028738,,0.129861898,0.030184124,
BB12-011,256.5,58.55877193,-9.245328234,-3.634390951,,0.011124538,0.033558368,
BB12-013,260,58.40526316,-9.789714753,-3.04042546,,0.031930977,0.010215799,
BB12-013,260,58.4,-9.7,-3.7,0.6043,0.02,0.1,0.017348393
BB12-015,261.5,58.33947368,-9.668768019,-3.760319202,,0.086201598,0.021676175,
BB12-015,261.5,58.33947368,-9.595286636,-3.168262218,,0.114694601,0.071850857,
BB12-016,263.5,58.25175439,-9.410181234,-4.080571759,,0.016575924,0.031033798,
BB12-017,265.5,58.16403509,-9.621830909,-3.894505045,,0.085935181,0.008939104,
BB12-019,270.5,57.94473684,-9.716375659,-3.66570098,,0.039738458,0.043282661,
BB12-021,272.5,57.85701754,-9.199534669,-3.341228276,,0.026547561,0.046795385,
BB12-023,274,57.79122807,-9.454505511,-4.029570589,,0.061220391,0.015011211,
BB12-024,274.5,57.76929825,-9.655692681,-4.477009226,,0.101342706,0.03479495,
BB12-024,274.5,57.76929825,-9.907195464,-3.687963391,,0.075161605,0.017991887,
BB10-001,,57.6,-9.2,-3.6,0.6237,0.04,0.1,0.02125364
BB10-001,279.5,57.55,-9.154712463,-2.654920796,,0.040480879,0.032234398,
BB10-001,279.5,57.55,-9.233018767,-2.491716497,,0.034727383,0.108598138,
BB10-001,279.5,57.55,-9.263393603,-2.601097456,,0.024869735,0.075953101,
BB10-001,279.5,57.55,-9.287741017,-2.619007141,,0.062299216,0.052077425,
BB12-030,280,57.52619048,-9.314864091,-2.779868465,,0.079945208,0.048119398,
BB10-002,280.5,57.50238095,-9.732222222,-3.743222222,,0.056329635,0.030993727,
BB10-002,280.5,57.50238095,-9.627111111,-3.375888889,,0.094868476,0.042394313,
BB10-002,280.5,57.50238095,-9.325888889,-3.338444444,,0.020160467,0.048670947,
BB10-002,280.5,57.50238095,-9.706777778,-4.109111111,,0.074524232,0.048035866,
BB12-031,280.5,57.50238095,-9.302579431,-2.898871194,,0.01538343,0.028548889,
BB12-031,280.5,57.50238095,-9.425246017,-2.956009771,,0.062692037,0.01820823,
BB10-003,281.5,57.4547619,-9.270344444,-3.804844444,,0.034325646,0.076372079,
BB10-003,281.5,57.4547619,-9.421233333,-3.201511111,,0.034200796,0.04161163,
BB10-003,281.5,57.4547619,-9.360788889,-3.086288889,,0.04130308,0.040855776,
BB10-003,281.5,57.4547619,-9.334455556,-3.585622222,,0.093751148,0.150326404,
BB10-004,282.5,57.40714286,-9.317775217,-2.981314946,,0.065691248,0.054658772,
BB10-004,282.5,57.40714286,-9.275477163,-2.965209953,,0.052487106,0.044406937,
BB10-005,285,57.28809524,-9.823011111,-4.065066667,,0.073825808,0.059947894,
BB10-005,285,57.28809524,-9.693233333,-3.780066667,,0.042882916,0.129637957,
BB10-005,285,57.28809524,-9.292788889,-4.284177778,,0.070174386,0.037444774,
BB10-005,285,57.28809524,-9.342566667,-3.627511111,,0.1086659,0.208721771,
BB10-008,290,57.05,-8.764608857,-3.089855163,,0.033679001,0.077931772,
BB10-008,290,57.05,-8.95926578,-3.501247795,,0.055191399,0.095455751,
BB10-010,293,56.9375,-9.383312178,-3.50102323,,0.040816818,0.055020067,
BB10-010,293,56.9375,-9.642541231,-4.020795684,,0.045005912,0.069719209,
BB10-011,294.5,56.9,-9.2,-4.2,0.6101,0.01,0.1,0.014221602
BB10-011,294.5,56.88125,-9.245444444,-3.991333333,,0.062403481,0.049759421,
BB10-011,294.5,56.88125,-9.210333333,-4.733333333,,0.186366574,0.714563153,
BB10-011,294.5,56.88125,-9.380444444,-3.873111111,,0.074073912,0.04451061,
BB10-011,294.5,56.88125,-9.210444444,-4.097222222,,0.040828231,0.042495425,
BB10-011,294.5,56.88125,-8.980333333,-5.177444444,,0.05425864,0.024972207,
BB10-012,295.5,56.84375,-10.05040522,-4.319432049,,0.062939153,0.007938897,
BB10-012,295.5,56.84375,-10.12395095,-4.266882602,,0.085675342,0.093075687,
