"age","d11B","d11Bse","d18O","MgCa","species","d13C"
55.628,NA,NA,NA,4.07,"Grub",NA
55.622,NA,NA,NA,4.14,"Grub",NA
55.619,NA,NA,-1.85,NA,"Grub",3.57
55.607,NA,NA,NA,3.81,"Grub",NA
55.594,NA,NA,-1.5,3.73,"Tsac",2.76
55.589,NA,NA,-1.54,3.67,"Grub",3.71
55.56,NA,NA,-1.52,4.16,"Tsac",2.91
55.553,NA,NA,NA,3.83,"Grub",NA
55.55,NA,NA,NA,3.99,"Grub",NA
55.55,NA,NA,NA,4.04,"Grub",NA
55.52,NA,NA,-1.72,3.7,"Grub",3.84
55.485,NA,NA,-1.43,NA,"Grub",3.68
55.45,15.22,0.27,-1.6,3.62,"Grub",3.79
55.448,15.53,0.105,NA,NA,"Tsac",NA
55.411,NA,NA,-1.38,NA,"Grub",3.6
55.376,NA,NA,-1.55,3.55,"Grub",3.96
55.345,NA,NA,-1.41,NA,"Grub",3.74
55.332,NA,NA,-1.26,NA,"Grub",3.7
55.257,NA,NA,NA,3.75,"Grub",NA
55.257,NA,NA,NA,4.15,"Grub",NA
55.197,NA,NA,-1.55,3.78,"Grub",3.72
55.197,NA,NA,NA,3.52,"Grub",NA
55.197,NA,NA,-1.34,3.78,"Tsac",2.68
55.138,NA,NA,-1.37,4,"Grub",3.44
55.138,NA,NA,NA,3.53,"Grub",NA
55.138,15.11,0.12,-1.09,3.77,"Tsac",2.83
55.079,NA,NA,-1.34,3.88,"Grub",3.82
55.079,NA,NA,-1.12,3.71,"Grub",3.73
55.079,NA,NA,-1.54,NA,"Tsac",3.11
55.021,NA,NA,NA,3.86,"Grub",NA
55.011,NA,NA,-1.67,3.72,"Tsac",3.09
54.963,NA,NA,NA,3.72,"Grub",NA
54.936,NA,NA,-1.43,3.59,"Tsac",3.05
54.916,NA,NA,NA,3.87,"Grub",NA
54.895,NA,NA,-1.31,3.8,"Tsac",2.58
54.865,NA,NA,NA,3.77,"Grub",NA
54.853,15.28,0.13,-1.52,3.57,"Tsac",2.62
54.777,NA,NA,-1.31,NA,"Tsac",2.79
54.769,NA,NA,NA,3.73,"Grub",NA
54.696,NA,NA,-1.69,3.55,"Tsac",2.73
54.684,NA,NA,-1.34,3.77,"Tsac",2.77
54.683,NA,NA,NA,3.58,"Grub",NA
54.66,NA,NA,-1.62,3.49,"Tsac",2.9
54.644,NA,NA,-1.61,3.46,"Tsac",2.62
54.62,NA,NA,-1.66,3.53,"Tsac",2.44
54.604,NA,NA,NA,3.83,"Grub",NA
54.603,NA,NA,-1.31,3.6,"Tsac",2.71
54.579,NA,NA,-1.71,3.75,"Tsac",2.79
54.563,NA,NA,-1.55,3.66,"Tsac",2.69
54.535,NA,NA,-1.71,3.67,"Tsac",2.58
54.525,NA,NA,NA,3.77,"Grub",NA
54.523,NA,NA,-1.74,3.91,"Tsac",3.07
54.499,NA,NA,-1.67,3.8,"Tsac",2.45
54.483,NA,NA,-1.67,NA,"Tsac",2.55
54.458,NA,NA,-1.8,NA,"Tsac",2.14
54.444,NA,NA,NA,3.62,"Grub",NA
54.44,15.35,0.165,NA,3.69,"Tsac",NA
54.44,NA,NA,-1.67,NA,"Tsac",2.23
54.413,NA,NA,-1.61,3.82,"Tsac",2.33
54.355,NA,NA,NA,3.79,"Grub",NA
54.355,NA,NA,-1.42,NA,"Tsac",2.13
54.328,NA,NA,-1.74,NA,"Tsac",2.38
54.292,NA,NA,-1.43,3.6,"Tsac",1.95
54.283,NA,NA,-1.53,NA,"Tsac",1.95
54.266,NA,NA,NA,3.9,"Grub",NA
54.265,NA,NA,-1.35,3.81,"Tsac",2.07
54.251,NA,NA,-1.8,3.56,"Tsac",2.08
54.233,NA,NA,-1.7,NA,"Tsac",2.28
54.211,NA,NA,-1.52,3.74,"Tsac",2.26
54.197,NA,NA,NA,3.77,"Tsac",NA
54.188,NA,NA,-1.71,3.8,"Tsac",2.32
54.17,NA,NA,-1.64,3.88,"Tsac",2.25
54.157,NA,NA,-1.61,NA,"Tsac",2.34
54.134,NA,NA,-1.77,3.85,"Tsac",2.39
54.125,NA,NA,-1.61,3.75,"Tsac",2.04
54.116,NA,NA,-1.59,3.84,"Tsac",2.11
54.107,NA,NA,-1.57,3.9,"Tsac",2.05
54.107,NA,NA,NA,3.91,"Tsac",NA
54.098,NA,NA,-1.36,3.76,"Tsac",2.2
54.089,NA,NA,-1.41,3.69,"Tsac",2.11
54.089,NA,NA,NA,3.88,"Tsac",NA
54.08,15.77,0.145,-1.65,3.6,"Tsac",1.65
54.08,NA,NA,NA,3.9,"Tsac",NA
54.067,NA,NA,-1.7,4.08,"Tsac",0.83
54.062,NA,NA,-1.62,4.09,"Tsac",0.88
54.06,16.04,0.19,NA,3.55,"Tsac",NA
54.054,15.77,0.15,NA,3.55,"Tsac",NA
54.053,15.59,0.12,NA,3.91,"Tsac",NA
54.052,15.09,0.15,NA,3.6,"Tsac",NA
54.051,15.36,0.17,NA,4.25,"Tsac",NA
54.05,15.61,0.105,NA,4.15,"Tsac",NA
54.048,15.33,0.095,NA,3.97,"Tsac",NA
54.045,NA,NA,-1.61,4.49,"Tsac",0.91
54.044,14.89,0.095,NA,4.32,"Tsac",NA
54.042,NA,NA,NA,4.34,"Tsac",1.41
54.038,14.45,0.145,-1.51,3.69,"Tsac",1.59
54.038,NA,NA,NA,4.37,"Tsac",NA
54.038,NA,NA,NA,4.38,"Tsac",NA
54.035,NA,NA,-1.49,4.5,"Tsac",1.51
54.032,NA,NA,-1.59,NA,"Tsac",1.64
54.029,NA,NA,-1.42,4.12,"Tsac",1.55
54.024,NA,NA,-1.59,4.18,"Tsac",1.5
54.021,NA,NA,-1.38,4.08,"Tsac",2.18
54.018,NA,NA,NA,4.13,"Tsac",NA
54.01,NA,NA,-1.59,4.01,"Tsac",2.23
54.008,15,0.18,NA,3.68,"Tsac",NA
54.007,NA,NA,-1.45,3.85,"Tsac",2.09
54.004,NA,NA,-1.69,3.9,"Tsac",1.83
54,NA,NA,-1.6,3.93,"Tsac",2.17
53.998,NA,NA,-1.58,3.98,"Tsac",2.22
53.998,NA,NA,NA,4.09,"Tsac",NA
53.991,NA,NA,-1.29,4.3,"Tsac",1.89
53.972,NA,NA,-1.8,4.55,"Tsac",1.23
53.969,15.81,0.145,NA,4.07,"Tsac",NA
53.965,NA,NA,-1.55,4.34,"Tsac",1.48
53.963,15.2,0.155,NA,4.35,"Tsac",NA
53.946,NA,NA,-1.61,4.07,"Tsac",2.04
53.936,NA,NA,-1.43,4.06,"Tsac",2.08
53.926,NA,NA,-1.42,3.91,"Tsac",1.98
53.914,NA,NA,-1.29,3.97,"Tsac",1.75
53.903,NA,NA,-1.39,3.89,"Tsac",2.07
53.901,NA,NA,-1.57,3.8,"Tsac",2.04
53.891,NA,NA,-1.65,3.68,"Tsac",2.5
53.871,NA,NA,-1.58,3.59,"Tsac",1.97
53.862,NA,NA,-1.47,NA,"Tsac",2.14
53.837,NA,NA,-1.53,NA,"Tsac",2.45
53.832,NA,NA,-1.65,3.75,"Tsac",2.18
53.819,NA,NA,-1.59,3.81,"Tsac",2.12
53.68,NA,NA,NA,4.15,"Tsac",NA
53.673,NA,NA,-1.58,4.43,"Tsac",1.46
53.667,NA,NA,NA,4.16,"Tsac",NA
53.652,NA,NA,-1.51,4.22,"Tsac",1.92
53.646,NA,NA,-1.54,3.93,"Tsac",2.15
53.613,NA,NA,-1.24,4.24,"Tsac",2.15
53.605,NA,NA,-1.57,4.08,"Tsac",2.07
53.59,NA,NA,-1.5,4.47,"Tsac",2.35
53.572,NA,NA,-1.73,NA,"Tsac",2.01
53.555,NA,NA,-1.51,4.48,"Tsac",1.17
53.551,NA,NA,-1.61,3.97,"Tsac",2.11
53.546,NA,NA,-1.5,3.92,"Tsac",2
53.542,NA,NA,-1.51,NA,"Tsac",1.79
53.538,NA,NA,-1.41,4.33,"Tsac",1.34
53.534,NA,NA,-1.52,4.15,"Tsac",1.75
53.525,NA,NA,-1.36,4.05,"Tsac",2.01
53.513,NA,NA,-1.38,NA,"Tsac",2.35
53.504,NA,NA,-1.55,3.68,"Tsac",1.92
53.494,NA,NA,-1.44,NA,"Tsac",1.75
53.483,NA,NA,-1.38,3.91,"Tsac",1.92
53.473,NA,NA,-1.3,3.88,"Tsac",2.24
53.464,NA,NA,-1.39,3.8,"Tsac",2.27
53.453,NA,NA,-1.6,3.86,"Tsac",2.13
53.443,NA,NA,-1.54,4.16,"Tsac",2.24
53.434,NA,NA,-1.55,4.13,"Tsac",2.46
53.422,NA,NA,-1.35,4.04,"Tsac",2.49
53.413,NA,NA,-1.41,4.12,"Tsac",2.28
53.404,NA,NA,-1.69,3.98,"Tsac",2.63
53.385,NA,NA,-1.72,3.97,"Tsac",2.39
53.343,NA,NA,-1.59,3.93,"Tsac",2.27
53.304,NA,NA,-1.74,3.84,"Tsac",2.35
53.262,NA,NA,-1.87,4.38,"Tsac",2.5
53.229,NA,NA,-1.52,3.99,"Tsac",1.82
53.2,14.12,0.13,NA,NA,"Tsac",NA
53.2,NA,NA,-1.46,3.76,"Tsac",2.24
53.162,NA,NA,-1.47,4.4,"Tsac",2.1
53.123,NA,NA,-1.72,3.93,"Tsac",1.94
53.084,NA,NA,-1.36,4.09,"Tsac",2.07
