"age","d11B","d11Bse","d18O","MgCa","species","d13C"
57.834,NA,NA,-1.38,3.79,"Grub",5.38
57.82,NA,NA,-1.32,3.59,"Grub",4.94
57.806,16.67,0.1,-1.53,3.52,"Grub",5.18
57.792,NA,NA,-1.14,3.49,"Grub",5.06
57.778,NA,NA,-1.26,3.38,"Grub",4.26
57.778,NA,NA,-1.25,NA,"Grub",5.02
57.764,NA,NA,-1.68,3.34,"Grub",5.14
57.75,NA,NA,-1.24,3.42,"Grub",4.7
57.736,NA,NA,-1.08,3.41,"Grub",4.7
57.722,NA,NA,-1.17,3.49,"Grub",4.69
57.708,NA,NA,-0.86,3.41,"Grub",4.35
57.7,NA,NA,-1.37,3.52,"Grub",4.76
57.687,NA,NA,-1.28,3.55,"Grub",4.94
57.673,NA,NA,-1.13,3.48,"Grub",4.69
57.659,NA,NA,-1.45,3.61,"Grub",4.84
57.645,NA,NA,-1.45,3.7,"Grub",4.61
57.632,NA,NA,-1.44,3.7,"Grub",5.11
57.619,16.52,0.17,-1.6,3.89,"Grub",4.86
57.606,NA,NA,-1.45,3.6,"Grub",4.82
57.593,NA,NA,-1.48,3.47,"Grub",5.18
57.58,NA,NA,-1.59,3.71,"Grub",4.88
57.566,NA,NA,-1.37,3.83,"Grub",4.65
57.553,NA,NA,-1.55,3.7,"Grub",5.05
57.54,NA,NA,NA,3.63,"Grub",NA
57.527,NA,NA,-1.32,3.64,"Grub",4.5
57.514,NA,NA,-1.26,3.5,"Grub",4.99
57.5,16.76,0.15,-1.32,3.38,"Grub",5.14
57.487,NA,NA,-1.62,3.55,"Grub",4.98
57.478,NA,NA,-1.39,NA,"Grub",4.56
57.474,NA,NA,-1.42,3.44,"Grub",4.88
57.461,NA,NA,-1.62,3.37,"Grub",5.12
57.448,NA,NA,-1.52,3.39,"Grub",4.67
57.435,NA,NA,-1.6,3.35,"Grub",4.89
57.421,NA,NA,-1.23,3.52,"Grub",4.8
57.408,NA,NA,-1.32,3.68,"Grub",4.75
57.395,NA,NA,-1.82,3.54,"Grub",4.83
57.382,NA,NA,-1.17,3.64,"Grub",4.23
57.371,NA,NA,-1.33,NA,"Grub",4.36
57.369,NA,NA,-1.14,3.79,"Grub",4.34
57.354,NA,NA,-1.6,3.64,"Grub",4.91
57.338,16.45,0.1,-1.62,3.67,"Grub",4.8
57.322,NA,NA,-1.58,3.39,"Grub",4.96
57.306,NA,NA,-1.57,NA,"Grub",5.32
57.29,NA,NA,-1.21,3.44,"Grub",4.57
57.275,NA,NA,-1.83,3.46,"Grub",4.6
57.259,NA,NA,-1.41,3.58,"Grub",4.34
57.243,NA,NA,-1.57,3.82,"Grub",4.86
57.226,16.63,0.13,-1.29,3.58,"Grub",4.44
57.214,NA,NA,-1.4,NA,"Grub",4.63
57.209,NA,NA,-1.49,3.65,"Grub",4.64
57.192,NA,NA,-1.65,3.66,"Grub",4.78
57.175,NA,NA,-1.54,3.45,"Grub",4.84
57.158,NA,NA,-1.25,3.47,"Grub",4.64
57.141,NA,NA,-1.42,3.46,"Grub",4.87
57.125,NA,NA,-1.76,3.41,"Grub",5.36
57.108,NA,NA,-1.44,3.7,"Grub",4.91
57.091,NA,NA,-1.45,3.57,"Grub",4.77
57.074,16.54,0.13,-1.2,3.77,"Grub",4.69
57.074,NA,NA,-1.42,NA,"Grub",4.49
57.057,NA,NA,-1.47,3.35,"Grub",5.04
56.953,NA,NA,-1.33,3.5,"Grub",4.7
56.941,NA,NA,-1.17,NA,"Grub",4.61
56.929,NA,NA,-1.43,3.19,"Grub",4.73
56.917,NA,NA,-1.44,NA,"Grub",4.61
56.905,NA,NA,-1.24,3.33,"Grub",4.41
56.893,NA,NA,-1.45,3.33,"Grub",4.63
56.88,NA,NA,-1.19,NA,"Grub",4.68
56.868,NA,NA,-1.31,3.46,"Grub",4.41
56.856,NA,NA,-1.17,3.39,"Grub",4.36
56.821,NA,NA,-1.34,NA,"Grub",4.78
56.786,NA,NA,-1.15,3.32,"Grub",4.07
56.752,NA,NA,-1.32,NA,"Grub",4.5
56.718,NA,NA,-1.21,3.48,"Grub",4.46
56.686,16.16,0.16,NA,3.41,"Tsac",NA
56.686,NA,NA,-1.21,3.13,"Grub",4.73
56.621,NA,NA,-1.11,3.24,"Grub",4.24
56.601,NA,NA,-1.37,NA,"Grub",4.39
56.588,NA,NA,-1.11,3.3,"Grub",3.82
56.555,NA,NA,-1.32,3.26,"Grub",3.79
56.36,NA,NA,-1.61,NA,"Grub",4.02
56.262,NA,NA,NA,3.26,"Grub",NA
56.197,NA,NA,NA,3.12,"Grub",NA
56.138,NA,NA,-1.56,3.32,"Grub",3.32
56.12,14.82,0.11,NA,3.45,"Tsac",NA
56.12,15.26,0.13,-1.26,3.63,"Grub",4.01
56.12,15.34,0.1,NA,NA,"Grub",NA
56.12,15.37,0.11,NA,NA,"Grub",NA
56.119,NA,NA,-1.18,NA,"Grub",3.23
56.109,NA,NA,-1.3,3.67,"Grub",3.64
56.099,NA,NA,-1.35,3.4,"Grub",3.27
56.098,NA,NA,-1.06,3.28,"Grub",3.88
56.086,NA,NA,-1.16,3.3,"Grub",4.01
56.079,NA,NA,-1.29,NA,"Grub",3.24
56.075,NA,NA,NA,3.39,"Grub",NA
56.064,NA,NA,-1.5,3.49,"Grub",3.99
56.06,NA,NA,-1.42,3.37,"Grub",3.83
56.052,NA,NA,-1.13,3.38,"Grub",3.95
56.041,NA,NA,-1.14,3.2,"Grub",4.06
56.04,NA,NA,-1.36,NA,"Grub",3.92
56.032,NA,NA,-1.2,3.36,"Grub",4.19
