age,IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,MATmrs,MASTsrs,BayMBT0
2.642,4%,12%,0%,0%,0%,0%,9%,20%,10%,4%,0%,0%,29%,11%,0%,13.7,10.6,13.3
2.648,5%,12%,0%,0%,0%,0%,11%,19%,6%,4%,0%,0%,27%,12%,4%,12.1,9.2,14.5
2.655,3%,8%,0%,0%,0%,0%,7%,17%,7%,4%,0%,0%,34%,18%,2%,16.5,14.3,18.2
2.667,9%,18%,0%,0%,0%,0%,9%,18%,9%,5%,2%,1%,19%,8%,2%,10.5,7.9,9.2
2.675,3%,7%,0%,0%,0%,0%,12%,23%,8%,5%,1%,1%,27%,9%,2%,11.9,9.9,12.7
2.682,7%,5%,0%,0%,0%,0%,11%,12%,5%,4%,0%,0%,35%,17%,4%,13.7,12.1,16.3
2.69,2%,8%,0%,0%,0%,0%,13%,18%,9%,9%,0%,0%,24%,12%,4%,10.1,6.7,12.5
2.698,3%,8%,0%,0%,0%,0%,8%,22%,8%,7%,1%,2%,25%,12%,3%,13.6,11.4,14.3
2.705,0%,0%,0%,0%,0%,0%,16%,24%,0%,0%,0%,0%,44%,16%,0%,13.6,11.6,19
2.713,6%,12%,0%,0%,0%,0%,9%,16%,9%,8%,0%,0%,30%,11%,0%,13.9,11.1,13.7
2.721,4%,13%,0%,0%,0%,0%,8%,21%,12%,8%,0%,0%,23%,10%,0%,13.2,10.3,11.5
2.733,5%,12%,0%,0%,0%,0%,12%,36%,0%,0%,0%,0%,36%,0%,0%,13.9,12,15.5
2.743,6%,18%,0%,0%,0%,0%,10%,33%,0%,0%,0%,0%,33%,0%,0%,13.9,11.4,14.8
2.754,4%,9%,0%,0%,0%,0%,12%,26%,0%,0%,0%,0%,49%,0%,0%,15.7,13.8,17.6
2.765,2%,7%,0%,0%,0%,0%,6%,29%,0%,0%,0%,0%,57%,0%,0%,19.8,18.6,22.2
2.789,4%,13%,0%,0%,0%,0%,7%,34%,0%,0%,0%,0%,42%,0%,0%,17.3,15,19.2
2.801,4%,15%,0%,0%,0%,0%,10%,32%,0%,0%,0%,0%,39%,0%,0%,15.4,12.8,17.1
2.814,8%,15%,0%,0%,0%,0%,8%,30%,0%,0%,0%,0%,39%,0%,0%,15.4,13.6,15.7
2.826,7%,13%,0%,0%,0%,0%,9%,28%,0%,0%,0%,0%,43%,0%,0%,15.8,14,16.7
2.838,4%,9%,0%,0%,0%,0%,6%,34%,0%,0%,0%,0%,47%,0%,0%,18.3,17,20.1
2.85,8%,11%,0%,0%,0%,0%,9%,33%,0%,0%,0%,0%,39%,0%,0%,15.1,13.8,15.8
2.863,7%,24%,0%,0%,0%,0%,11%,28%,0%,0%,0%,0%,29%,0%,0%,12.4,9,12.9
2.875,7%,13%,0%,0%,0%,0%,14%,31%,0%,0%,0%,0%,35%,0%,0%,11.9,10.1,13.1
2.887,6%,14%,0%,0%,0%,0%,9%,33%,0%,0%,0%,0%,39%,0%,0%,15.4,13.4,16.4
2.9,9%,14%,0%,0%,0%,0%,12%,38%,0%,0%,0%,0%,27%,0%,0%,11.3,10.7,11.5
2.907,6%,7%,0%,0%,0%,0%,13%,24%,0%,0%,0%,0%,50%,0%,0%,15.2,13.5,16.8
2.915,5%,8%,0%,0%,0%,0%,9%,27%,0%,0%,0%,0%,51%,0%,0%,17.1,15.7,19
2.944,3%,6%,0%,0%,0%,0%,6%,25%,0%,0%,0%,0%,60%,0%,0%,19.4,18.7,21.9
2.959,4%,9%,0%,0%,0%,0%,11%,30%,0%,0%,0%,0%,45%,0%,0%,15.5,13.7,17.5
2.973,5%,6%,0%,0%,0%,0%,6%,22%,0%,0%,0%,0%,61%,0%,0%,19.3,19.1,21.3
2.988,6%,13%,0%,0%,0%,0%,10%,23%,0%,0%,0%,0%,48%,0%,0%,16.1,13.7,17.8
3.003,7%,18%,0%,0%,0%,0%,10%,28%,0%,0%,0%,0%,38%,0%,0%,14.6,11.9,15.6
