age,IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,MATmrs,MASTsrs,BayMBT0
1.508,4%,9%,0%,0%,0%,0%,5%,24%,7%,5%,0%,0%,31%,12%,3%,17.3,15.7,17.2
1.513,6%,13%,0%,0%,0%,0%,8%,19%,5%,6%,0%,0%,33%,10%,0%,15,12.4,15.4
1.551,4%,8%,0%,0%,0%,0%,13%,21%,7%,6%,0%,0%,27%,11%,3%,11,8.6,13
1.556,4%,9%,0%,0%,0%,0%,9%,21%,6%,8%,0%,0%,29%,15%,0%,14.2,12,15.7
1.561,2%,5%,0%,0%,0%,0%,9%,13%,3%,13%,0%,1%,27%,24%,2%,13.6,10.9,18.5
1.567,1%,8%,0%,0%,0%,0%,2%,22%,2%,11%,0%,0%,29%,22%,2%,21.2,17.9,23.9
1.573,4%,6%,0%,0%,0%,0%,5%,19%,5%,7%,0%,0%,32%,22%,2%,17.8,16.4,19.8
1.579,5%,10%,0%,0%,0%,0%,4%,23%,4%,10%,0%,0%,28%,14%,2%,16.7,14.9,18.2
1.585,4%,8%,0%,0%,0%,0%,13%,15%,7%,9%,0%,0%,28%,13%,3%,11.2,8,13.7
1.591,4%,9%,0%,0%,0%,0%,9%,19%,6%,8%,0%,0%,29%,13%,3%,14,11.6,15.8
1.597,5%,6%,0%,0%,0%,0%,8%,23%,7%,4%,0%,0%,32%,12%,3%,14.8,13.8,15.8
1.603,3%,6%,0%,0%,0%,0%,6%,21%,5%,8%,0%,0%,34%,16%,2%,17.5,16,19.6
1.609,2%,8%,0%,0%,0%,0%,4%,30%,3%,3%,0%,0%,37%,12%,1%,19.4,17.4,21.2
1.615,3%,6%,0%,0%,0%,0%,9%,18%,2%,9%,0%,0%,36%,15%,3%,15.8,14,19.3
1.621,4%,8%,0%,0%,0%,0%,10%,16%,7%,6%,0%,0%,32%,14%,3%,14.3,11.6,16.1
1.627,1%,9%,0%,0%,0%,0%,5%,37%,1%,1%,0%,0%,40%,4%,0%,18.7,16.5,21.2
1.633,2%,9%,0%,0%,0%,0%,6%,34%,3%,4%,0%,0%,38%,6%,0%,18,16,19.3
1.639,4%,9%,0%,0%,0%,0%,5%,23%,4%,6%,0%,0%,35%,14%,2%,17.9,16,19.5
1.645,3%,9%,0%,0%,0%,0%,7%,25%,2%,6%,1%,2%,38%,7%,2%,17.3,15.1,19.1
1.651,4%,10%,0%,0%,0%,0%,4%,21%,3%,9%,0%,0%,36%,12%,0%,18.8,16.7,19.8
1.656,4%,15%,0%,0%,0%,0%,3%,23%,4%,6%,0%,0%,31%,10%,5%,19,15.3,19.7
1.661,4%,13%,0%,0%,0%,0%,4%,20%,3%,16%,0%,0%,31%,11%,0%,18.4,15.2,19.5
1.667,3%,8%,0%,0%,0%,0%,6%,25%,6%,4%,1%,3%,32%,8%,3%,16.6,14.8,16.3
1.672,4%,10%,0%,0%,0%,0%,7%,20%,4%,8%,2%,4%,23%,12%,7%,13.6,11.4,15.7
1.681,4%,5%,0%,0%,0%,0%,18%,11%,4%,4%,1%,2%,36%,13%,2%,10.8,6.8,14
1.689,3%,12%,0%,0%,0%,0%,8%,20%,4%,6%,0%,0%,32%,10%,3%,15.6,12.4,17.7
1.693,3%,14%,0%,0%,0%,0%,9%,23%,3%,9%,0%,0%,28%,10%,0%,13.8,10.6,16.1
1.697,7%,10%,0%,0%,0%,0%,9%,17%,5%,8%,0%,0%,26%,12%,5%,12.9,10.7,14.8
1.701,4%,8%,0%,0%,0%,0%,6%,14%,4%,4%,1%,1%,37%,18%,3%,17.3,15.7,19.4
1.706,5%,9%,0%,0%,0%,0%,9%,14%,5%,4%,0%,0%,37%,15%,3%,15.4,13,17.4
1.71,4%,14%,0%,0%,0%,0%,6%,19%,5%,6%,0%,0%,33%,9%,4%,16.5,13.3,17.6
1.715,7%,13%,0%,0%,0%,0%,6%,15%,5%,7%,0%,0%,35%,13%,0%,16.1,13.7,16.6
1.72,1%,8%,0%,0%,0%,0%,7%,35%,1%,2%,0%,0%,39%,7%,0%,17.7,15.7,21.2
1.725,10%,10%,0%,0%,0%,0%,14%,19%,7%,6%,0%,0%,26%,9%,0%,9.8,8,10.1
1.731,3%,8%,0%,0%,0%,0%,9%,18%,5%,4%,0%,0%,37%,14%,2%,15.6,13.2,17.5
1.736,3%,11%,0%,0%,0%,0%,4%,22%,3%,10%,0%,0%,30%,12%,4%,18.1,15.2,19.8
1.741,3%,13%,0%,0%,0%,0%,8%,19%,4%,7%,0%,0%,32%,10%,4%,15.7,12.1,18.4
1.746,4%,14%,0%,0%,0%,0%,10%,19%,7%,6%,0%,0%,30%,10%,0%,13.2,9.8,13.9
1.752,4%,12%,0%,0%,0%,0%,6%,19%,4%,10%,0%,0%,29%,12%,5%,15.8,12.8,18.2
1.757,5%,13%,0%,0%,0%,0%,7%,25%,5%,6%,0%,0%,30%,9%,0%,15.1,12.8,15.4
1.763,6%,8%,0%,0%,0%,0%,12%,21%,7%,9%,0%,0%,25%,13%,0%,10.5,8.6,12.3
1.768,6%,12%,0%,0%,0%,0%,17%,17%,0%,0%,0%,0%,31%,13%,4%,10,6.2,14.7
