section,SID,age,d13c,d18c,d13o,MS
Zhaojiachuan,375,0.028,-6.5,-9.8,-22.4,49
Zhaojiachuan,1850,0.159,-6.2,-9.5,-23,34
Zhaojiachuan,2100,0.175,-6.7,-10.9,-22.9,63
Zhaojiachuan,2800,0.252,-7.2,-9.8,-24.6,47
Zhaojiachuan,4200,0.433,-6.4,-9.6,-24.4,38
Zhaojiachuan,5600,0.643,-6,-9.3,-24.3,29
Zhaojiachuan,5775,0.656,-5.9,-8.7,-24.9,27
Zhaojiachuan,5950,0.669,-6.2,-9,-24.7,39
Zhaojiachuan,6850,0.796,-6.2,-9,-24.1,24
Fuxian,14-Mar,0.021,-7,-9.3,-23,45
Fuxian,Mar-46,0.026,-7.2,-10.4,-22.9,63
Fuxian,9/1/62,0.070,-7,-9.5,-23.5,34
Fuxian,10/2/46,0.136,-7,-10.2,-22.6,32
Fuxian,11/1/34,0.139,-7.4,-10.9,-22.9,38
Fuxian,11/1/90,0.143,-7.5,-10.4,-23.4,45
Fuxian,12/1/78,0.150,-6.9,-9.7,-23,34
Fuxian,14-1-66,0.179,-6.4,-9.3,-22.7,36
Fuxian,16-2-76,0.259,-6.4,-10,-22.6,39
Fuxian,17-1-80,0.280,-7.1,-10.8,-23.2,48
Fuxian,17-2-68,0.294,-6.8,-10.7,-23.2,41
Fuxian,18-1-32,0.298,-6.4,-9.5,-22.8,37
Fuxian,19-1-108,0.344,-6.7,-10,-23.1,35
Fuxian,19-2-58,0.353,-7,-9.8,-23.7,52
Fuxian,20-60,0.362,-6.7,-10,-23,37
Fuxian,21-1-64,0.371,-7.5,-11,-23.7,61
Fuxian,23-1-46,0.434,-7,-10.6,-22.9,59
Fuxian,23-1-100,0.439,-6.4,-9.7,-23,34
Fuxian,23-2-70,0.448,-7,-9.7,-23.2,46
Fuxian,24-1-110,0.460,-7.3,-10.3,-23.2,56
Fuxian,24-2-60,0.468,-7.1,-9.9,-23.5,46
Fuxian,28-2-66,0.648,-7.4,-10.5,-23.7,37
Fuxian,29-86,0.657,-7,-10.1,-23.9,28
Fuxian,30-1-78,0.666,-6.8,-10.5,-23.6,39
Fuxian,30-2-36,0.674,-5.8,-9,-23.7,33
Fuxian,31-1-118,0.720,-6.7,-10.4,-23.2,40
Fuxian,32-1-18,0.744,-7.9,-10.5,-24,54
Fuxian,32-1-104,0.754,-8.1,-10.5,-24,73
Fuxian,32-2-148,0.795,-7.6,-9.2,-24,33
Fuxian,33-1-24,0.798,-7.2,-9.8,-23.6,25
Fuxian,33-1-28,0.799,-7.5,-9.5,-23.8,27
Luochuan,17.5,0.216,-4.5,-8.8,-22.4,108
Luochuan,18.29,0.236,-7.1,-7.4,-25.1,156
Luochuan,18.71,0.242,-5.1,-9.1,-22.7,99
Luochuan,22.1,0.295,-7.3,-8.1,-23.7,223
Luochuan,22.31,0.303,-6.3,-9.0,-24.1,205
Luochuan,22.49,0.310,-6.1,-9.6,-23.3,196
Luochuan,22.7,0.318,-6.4,-8.6,-23.4,182
Luochuan,22.91,0.326,-6.9,-9.0,-24.7,182
Luochuan,23.09,0.332,-7.7,-8.0,-25.5,190
Luochuan,27.69,0.402,-7.8,-9.4,-25.4,137
Luochuan,28.3,0.411,-8.3,-8.6,-25.1,200
Luochuan,28.69,0.417,-7.9,-9.1,-24.5,218
Luochuan,28.9,0.420,-8.0,-7.5,-24.6,227
Luochuan,34.9,0.479,-6.1,-7.0,-24.3,109
Luochuan,38.3,0.584,-6.5,-8.6,-25.6,117
Luochuan,38.51,0.589,-6.9,-8.3,-25.5,115
Luochuan,45.5,0.698,-6.5,-4.9,-25.1,136
Luochuan,49.3,0.771,-7.0,-9.0,-25.8,101
Luochuan,49.51,0.775,-7.3,-9.0,-25.5,113
Luochuan,49.69,0.778,-7.8,-8.8,-24.7,133
Luochuan,49.9,0.781,-8.0,-7.3,-26.2,132
Luochuan,50.29,0.787,-6.7,-9.0,-25.1,111
,,,,,,
