site,SID,age,d13C,d18O,d13Co,D47,D47.sd
Jiaxian,2045,3.84,-5.1,-8.7,-22.2,,
Jiaxian,2070,3.89,-4.9,-8.5,-23.9,,
Jiaxian,2075,3.9,-4.3,-8.6,-23.2,,
Jiaxian,2100,3.95,-4.6,-8.5,-23.5,,
Jiaxian,2125,4,-5.3,-8.5,-23.6,,
Jiaxian,2150,4.06,-4.9,-7.1,-22.9,,
Jiaxian,2175,4.11,-4.8,-8.4,-23.2,,
Jiaxian,2200,4.16,-4.7,-8.8,-23.8,,
Jiaxian,2225,4.2,-4.5,-8.4,-22.3,,
Jiaxian,2250,4.24,-4.1,-8.2,-22.4,,
Jiaxian,2275,4.27,-4.2,-8.9,-23,,
Jiaxian,2300,4.35,-3.7,-8.7,-23.1,0.604,0.01
Jiaxian,2335,4.5,-3.7,-9,-22.8,,
Jiaxian,2368,4.54,-4.2,-8.4,-23.3,,
Jiaxian,2500,4.73,-5.2,-9,-23.5,,
Jiaxian,2590,4.83,-5.2,-9.2,-23.6,,
Jiaxian,2650,4.87,-3.9,-8.6,-23.6,0.587,0.009
Jiaxian,2728,4.98,-6.7,-8.7,-25.9,,
Jiaxian,2850,5.16,-5.4,-7.9,-24.2,,
Jiaxian,2900,5.23,-5.6,-8.3,-23.7,,
Jiaxian,2950,5.27,-6,-9.2,-24.8,,
Jiaxian,2975,5.3,-5.9,-9.3,-24.1,0.607,0.011
Jiaxian,3000,5.32,-5.1,-9.3,-23.4,,
Jiaxian,3130,5.44,-4.8,-8.8,-22.8,,
Jiaxian,3160,5.46,-5.2,-9.3,-23.5,,
Jiaxian,3250,5.54,-5.6,-9.2,-23.7,,
Jiaxian,3428,5.7,-4.2,-8.8,-23.5,,
Jiaxian,3460,5.73,-4.7,-8.8,-23.5,,
Jiaxian,3595,5.85,-5.2,-9.4,-23.9,0.624,0.011
Jiaxian,3620,5.88,-5.4,-9.2,-24.4,,
Jiaxian,3645,5.9,-5.6,-9.6,-24,,
Jiaxian,3685,5.93,-5.5,-9.1,-23.7,,
Jiaxian,3720,5.96,-6.2,-9.2,-24.6,,
Jiaxian,3727,5.97,-6.4,-8.9,-24.2,,
Jiaxian,3750,5.99,-5.8,-9.2,-23.9,,
Jiaxian,3810,6.04,-5.8,-9.5,-24.5,,
Jiaxian,3827,6.06,-5.5,-9.4,-24.5,,
Jiaxian,3850,6.08,-5.8,-9.9,-23.5,,
Jiaxian,3992,6.16,-3.4,-10.3,-23.6,,
Jiaxian,4052,6.19,-4.4,-9.4,-23.8,0.62,0.009
Jiaxian,4250,6.26,-4.3,-9,-24.3,,
Jiaxian,4295,6.29,-3.7,-9.1,-22.8,,
Jiaxian,4340,6.33,-4.4,-9,-23.8,,
Jiaxian,4380,6.36,-3.7,-9.4,-24,0.609,0.011
Jiaxian,4425,6.4,-3.9,-9.6,-23.9,,
Jiaxian,4450,6.42,-4.7,-9.2,-24.5,,
Jiaxian,4475,6.44,-4.6,-8.8,-23.8,,
Jiaxian,4543,6.5,-3.9,-9.4,-22.9,0.613,0.011
Jiaxian,4582,6.53,-4.6,-9.4,-24.2,,
Jiaxian,4657,6.59,-4.8,-9.6,-24.3,,
Jiaxian,4750,6.65,-6,-8.8,-24.6,0.636,0.011
Jiaxian,4775,6.66,-6.2,-8.8,-24.6,,
Jiaxian,4800,6.68,-6.9,-9.5,-24.5,,
Jiaxian,4825,6.69,-6.1,-8.4,-23.9,,
Jiaxian,4850,6.71,-7,-9.2,-24.6,,
Jiaxian,4875,6.72,-7.3,-9.4,-25,,
Jiaxian,4923,6.75,-6,-9,-24.4,,
Jiaxian,4950,6.77,-6.7,-9.3,-24.5,,
Jiaxian,5000,6.8,-6,-9.1,-24.8,,
Jiaxian,5025,6.82,-5.5,-8.9,-24.5,0.602,0.019
Jiaxian,5077,6.85,-6.7,-9.5,-24.4,,
Jiaxian,5125,6.88,-6.7,-9.3,-24.7,,
Jiaxian,5162,6.9,-7.9,-9.8,-24.9,,
Jiaxian,5195,6.92,-7.1,-9.1,-23.9,,
Jiaxian,5225,6.94,-7,-9.1,-24.4,0.607,0.011
Jiaxian,5247,6.97,-7.4,-9.3,-24.6,,
Jiaxian,5250,6.97,-7.5,-9,-24.6,,
Jiaxian,5270,6.99,-6.3,-9.1,-25.2,,
Jiaxian,5275,7,-7,-9.4,-24.8,,
Jiaxian,5300,7.02,-6.8,-9.1,-24.3,,
Jiaxian,5325,7.05,-6.5,-8.7,-25.1,,
Jiaxian,5350,7.08,-7.2,-9.4,-25.1,,
Jiaxian,5375,7.11,-6.6,-9.2,-25.6,,
Jiaxian,5400,7.14,-6.6,-8.7,-24.9,,
Jiaxian,5415,7.15,-7.1,-9.3,-25,,
Jiaxian,5432,7.16,-6.9,-9.3,-24.7,,
Jiaxian,5438,7.17,-6.7,-8.8,-24.5,,
Jiaxian,5461,7.19,-6.9,-9.3,-24.5,,
Jiaxian,5494,7.22,-7,-9.5,-24,,
Jiaxian,5510,7.24,-7.3,-9.3,-24.3,,
Jiaxian,5530,7.26,-6.5,-9,-24.3,,
Jiaxian,5545,7.28,-6.5,-8.9,-24.5,,
Jiaxian,5550,7.28,-6.5,-8.8,-24.5,,
Jiaxian,5570,7.3,-7,-9.9,-24.2,,
Jiaxian,5600,7.33,-5.9,-8.5,-25.2,,
Jiaxian,5660,7.37,-6.2,-8.5,-24.8,,
Jiaxian,5680,7.38,-6.2,-8.8,-24.5,,
Jiaxian,5758,7.48,-6.7,-9.2,-25.1,,
Jiaxian,5793,7.55,-5.7,-8.8,-24.8,,
Shilou,SL23-100,2.836,-5.1,-7.6,-22.1,,
Shilou,SL23-150-160,2.898,-4.2,-8.5,-22.9,,
