site,age,d13C,d18O,d13Co,D47,D47.sd
Fuxian,1.263,-6.5,-9.6,-23.2,,
Fuxian,1.287,-6.1,-9.6,-23.2,,
Fuxian,1.29,-5.8,-8.5,-24.4,,
Fuxian,1.303,-6.7,-10.1,-24.8,,
Fuxian,1.329,-7,-10,-23.3,,
Fuxian,1.331,-6.8,-9.6,-25,,
Fuxian,1.338,-6.6,-9.1,-24.7,,
Fuxian,1.343,-6.9,-10.3,-24.6,,
Fuxian,1.375,-6.9,-9.8,-24.8,,
Fuxian,1.377,-6.5,-9.6,-24,,
Fuxian,1.408,-5.7,-10,-23.2,,
Fuxian,1.411,-5.7,-9.3,-23.3,,
Fuxian,1.416,-6,-9,-24.1,,
Fuxian,1.457,-5.7,-9.5,-23.5,,
Fuxian,1.463,-6,-9,-25.8,,
Fuxian,1.465,-6.4,-9.4,-24.3,,
Fuxian,1.494,-6.9,-10.2,-25.3,,
Fuxian,1.499,-6.1,-9.4,-24.5,,
Fuxian,1.504,-5.7,-9.5,-22.9,,
Fuxian,1.623,-6.6,-10.5,-23.9,,
Fuxian,1.644,-5.8,-9.7,-23,,
Fuxian,1.652,-5.7,-9.6,-23.2,,
Fuxian,1.665,-6,-9.4,-24.4,,
Fuxian,1.699,-5.5,-8.8,-23.9,,
Fuxian,1.712,-5.7,-9.4,-24.3,,
Fuxian,1.746,-5.5,-9.5,-24.2,,
Fuxian,1.756,-5.9,-9,-23,,
Fuxian,1.757,-6.1,-9.3,-23.1,,
Fuxian,1.861,-7.2,-9.8,-24.5,,
Fuxian,1.998,-5.6,-9.4,-23.5,,
Fuxian,2.002,-6,-9.2,-23.5,,
Fuxian,2.005,-5.9,-10,-24.1,,
Fuxian,2.055,-4.9,-8.8,-24.5,,
Fuxian,2.065,-5.3,-8.7,-24.3,,
Fuxian,2.075,-5.9,-9.6,-24.3,,
Fuxian,2.155,-4.6,-8.6,-22.6,,
Fuxian,2.16,-4.6,-9.5,-22.6,,
Fuxian,2.165,-4.8,-8.5,-23.6,,
Fuxian,2.237,-4.9,-9.2,-24.8,,
Fuxian,2.243,-5.7,-9.4,-24,,
Fuxian,2.245,-5.8,-10,-23.1,,
Fuxian,2.511,-4.2,-9.2,-23.9,,
Fuxian,2.518,-4.4,-9.2,-22.5,,
Fuxian,2.528,-5.6,-10.2,-24.4,,
Fuxian,2.535,-5.3,-9.3,-24.2,,
Luochuan,0.866,-5.9,-8.2,-24,,
Luochuan,0.936,-6.3,-7.9,-26,,
Luochuan,0.94,-7.5,-6.3,-24.9,,
Luochuan,0.955,-7.3,-7.4,-25.9,,
Luochuan,0.957,-6.6,-8,-24.9,,
Luochuan,1.016,-6.9,-7.6,-25.6,,
Luochuan,1.019,-7.2,-6.9,-24.3,,
Luochuan,1.024,-6.3,-8,-24.8,,
Luochuan,1.028,-5.6,-8,-25.1,,
Luochuan,1.029,-5.1,-9.6,-23.8,,
Luochuan,1.045,-5.4,-9.3,-25.3,,
Luochuan,1.059,-6.1,-8.8,-26,,
Luochuan,1.067,-6.6,-7.6,-25.8,,
Luochuan,1.072,-6.3,-8.4,-25.3,,
Luochuan,1.076,-5.4,-10,-25.2,,
Luochuan,1.157,-5.9,-8.6,-25.9,,
Luochuan,1.168,-7.8,-8.3,-25.2,,
Luochuan,1.176,-7.9,-9.2,-25.1,,
Luochuan,1.194,-6.5,-7.8,-24.5,,
Luochuan,1.201,-4.8,-9.4,-25.4,,
Luochuan,1.225,-4.5,-9.2,-25.3,,
Luochuan,1.23,-5.6,-8.3,-24.9,,
Luochuan,1.238,-5.6,-8.5,-24.2,,
Luochuan,1.241,-3.7,-9.4,-25,,
Luochuan,1.276,-5.9,-9.3,-24.8,,
Luochuan,1.277,-5.9,-9.2,-24.2,,
Luochuan,1.278,-5.8,-9.2,-24,,
Luochuan,1.281,-5.5,-9.2,-23,,
Luochuan,1.283,-5.3,-9.2,-23.5,,
Luochuan,1.329,-7.4,-8.6,-25,,
Luochuan,1.331,-7,-9.1,-25.8,,
Luochuan,1.334,-6.2,-10,-23.8,,
Luochuan,1.336,-5.8,-9.9,-24.8,,
Luochuan,1.337,-5.8,-9.2,-23.1,,
Luochuan,1.356,-7,-8.2,-25,,
Luochuan,1.361,-7.3,-8.3,-24,,
Luochuan,1.363,-7.8,-6.9,-26.1,,
Luochuan,1.365,-7.3,-8,-24.9,,
Luochuan,1.37,-6.1,-8.9,-23.8,,
Luochuan,1.384,-6.6,-8.6,-23.9,,
Luochuan,1.386,-6.9,-9.1,-25.2,,
Luochuan,1.389,-6.8,-8.9,-24.6,,
Luochuan,1.396,-6.2,-9.5,-23.8,,
Luochuan,1.399,-5.8,-9.6,-24.4,,
Luochuan,1.421,-6,-8.8,-25.7,,
Luochuan,1.424,-5.7,-9.2,-24.3,,
Luochuan,1.427,-7,-7.9,-25.3,,
Luochuan,1.434,-6.8,-7.5,-25.2,,
Luochuan,1.44,-4.8,-9.7,-25.6,,
Luochuan,1.516,-6.3,-9.5,-25.6,,
Luochuan,1.519,-6.4,-9.3,-25.8,,
Luochuan,1.521,-6.3,-9.4,-25.2,,
Luochuan,1.524,-7,-8.9,-24.1,,
Luochuan,1.527,-6.7,-8.7,-23.3,,
Luochuan,1.563,-8,-9,-25.4,,
Luochuan,1.576,-7.6,-8.8,-24,,
Luochuan,1.578,-7.7,-8.8,-25.3,,
Luochuan,1.584,-6.8,-9.3,-23.5,,
Luochuan,1.597,-6.9,-9.2,-25.1,,
Luochuan,1.606,-6.9,-9,-25.2,,
Luochuan,1.647,-6.5,-9.5,-25,,
Luochuan,1.65,-6.2,-9.3,-24.7,,
Luochuan,1.65,-6.6,-9,-22.8,,
Luochuan,1.651,-6.6,-8.8,-25.2,,
Luochuan,1.716,-5.8,-8.9,-23.9,,
Luochuan,1.719,-5.2,-10,-23.6,,
Luochuan,1.721,-4.9,-10.1,-23.2,,
Luochuan,1.724,-5,-9.5,-22.8,,
Luochuan,1.726,-5.7,-9.7,-23.7,,
Luochuan,1.809,-5.4,-8,-24.3,,
Luochuan,1.82,-7.2,-6.6,-23.5,,
Luochuan,1.824,-6.6,-7.9,-24.3,,
Luochuan,1.828,-6.2,-8.8,-24.3,,
Luochuan,1.93,-4.6,-9,-23.1,,
Luochuan,1.935,-4.6,-9,-23.2,,
Luochuan,1.947,-5,-8.8,-23.6,,
Luochuan,1.956,-4.9,-9.2,-23.5,,
Luochuan,1.962,-4.7,-9.3,-23.6,,
Luochuan,2.039,-7,-7.7,-23.3,,
Luochuan,2.041,-7.2,-8.2,-23.3,,
Luochuan,2.044,-5.9,-8.8,-23.2,,
Luochuan,2.05,-5.1,-8.9,-22.9,,
Luochuan,2.052,-5.2,-8.6,-23.6,,
Luochuan,2.095,-5.4,-8,-23,,
Luochuan,2.104,-5.6,-8,-24.3,,
Luochuan,2.114,-4.7,-9.2,-23.2,,
Luochuan,2.131,-4.2,-8.7,-23.9,,
Luochuan,2.255,-4.7,-8.7,-24.6,,
Luochuan,2.263,-5.1,-8.4,-23.5,,
Luochuan,2.297,-6.5,-6.7,-24.5,,
Luochuan,2.341,-4.6,-8.7,-25.4,,
Luochuan,2.342,-4.5,-8.7,-23.8,,
Luochuan,2.35,-5.7,-8.4,-23.5,,
Luochuan,2.351,-5.7,-8.2,-23.5,,
Luochuan,2.352,-5,-7.8,-23.8,,
Luochuan,2.354,-4.7,-8.1,-23.9,,
Luochuan,2.416,-5.1,-7.9,-24.3,,
Luochuan,2.423,-5.1,-8.1,-24.5,,
Luochuan,2.43,-3.8,-6.8,-23.6,,
Luochuan,2.434,-4.1,-8.8,-23.1,,
Luochuan,2.445,-2.8,-8.9,-23.2,,
Luochuan,2.55,-6.8,-7,-24.1,,
Luochuan,2.553,-7.2,-7.1,-24.1,,
Luochuan,2.56,-7.3,-3,-24.3,,
Luochuan,2.567,-4.3,-9,-23.1,,
Luochuan,2.577,-4.2,-8.9,-22.8,,
Fuxian,0.256,-5,-10.3,,0.611,0.015
Fuxian,0.357,-6.3,-9.7,,0.615,0.013
Fuxian,1.101,-6.6,-9.4,,0.623,0.014
Fuxian,1.248,-5.7,-9.8,,0.627,0.013
Fuxian,1.249,-2.9,-10.7,,0.6,0.012
Fuxian,1.293,-5.3,-9.7,,0.627,0.016
Fuxian,1.472,-6.5,-9.8,,0.639,0.008
Fuxian,1.571,-7.9,-8.4,,0.627,0.034
Fuxian,1.623,-5.9,-10,,0.631,0.013
Fuxian,1.707,-5.3,-9.6,,0.633,0.017
Fuxian,1.96,-6.6,-9.2,,0.635,0.005
