site,age,d13C,d18O,d13Co,D47,D47.sd
Zhaojiachuan,0.028,-6.5,-9.8,-22.422,,
Zhaojiachuan,0.159,-6.2,-9.5,-22.981,,
Zhaojiachuan,0.175,-6.7,-10.9,-22.884,,
Zhaojiachuan,0.252,-7.2,-9.8,-24.566,,
Zhaojiachuan,0.433,-6.4,-9.6,-24.399,,
Zhaojiachuan,0.643,-6,-9.3,-24.294,,
Zhaojiachuan,0.656,-5.9,-8.7,-24.888,,
Zhaojiachuan,0.669,-6.2,-9,-24.715,,
Zhaojiachuan,0.796,-6.2,-9,-24.13,,
Fuxian,0.021,-7,-9.3,-23.023,,
Fuxian,0.026,-7.2,-10.4,-22.899,,
Fuxian,0.07,-7,-9.5,-23.461,,
Fuxian,0.136,-7,-10.2,-22.633,,
Fuxian,0.139,-7.4,-10.9,-22.937,,
Fuxian,0.143,-7.5,-10.4,-23.353,,
Fuxian,0.15,-6.9,-9.7,-22.975,,
Fuxian,0.179,-6.4,-9.3,-22.738,,
Fuxian,0.259,-6.4,-10,-22.647,,
Fuxian,0.28,-7.1,-10.8,-23.198,,
Fuxian,0.294,-6.8,-10.7,-23.156,,
Fuxian,0.298,-6.4,-9.5,-22.849,,
Fuxian,0.344,-6.7,-10,-23.077,,
Fuxian,0.353,-7,-9.8,-23.651,,
Fuxian,0.362,-6.7,-10,-22.964,,
Fuxian,0.371,-7.5,-11,-23.652,,
Fuxian,0.434,-7,-10.6,-22.863,,
Fuxian,0.439,-6.4,-9.7,-23.023,,
Fuxian,0.448,-7,-9.7,-23.176,,
Fuxian,0.46,-7.3,-10.3,-23.222,,
Fuxian,0.468,-7.1,-9.9,-23.454,,
Fuxian,0.648,-7.4,-10.5,-23.719,,
Fuxian,0.657,-7,-10.1,-23.898,,
Fuxian,0.666,-6.8,-10.5,-23.62,,
Fuxian,0.674,-5.8,-9,-23.658,,
Fuxian,0.72,-6.7,-10.4,-23.166,,
Fuxian,0.744,-7.9,-10.5,-23.954,,
Fuxian,0.754,-8.1,-10.5,-24.004,,
Fuxian,0.795,-7.6,-9.2,-23.962,,
Fuxian,0.798,-7.2,-9.8,-23.591,,
Fuxian,0.799,-7.5,-9.5,-23.823,,
Fuxian,0.047,-8.5,-10,-23.322,,
Fuxian,0.053,-7.9,-10.2,-23.0465,,
Fuxian,0.054,-7.7,-10.5,-22.929,,
Fuxian,0.081,-8.2,-9.3,-23.558,,
Fuxian,0.084,-8,-9.2,-23.247,,
Fuxian,0.09,-8.9,-10,-22.6275,,
Fuxian,0.097,-8.9,-10.1,-22.426,,
Fuxian,0.192,-7.2,-8.5,-21.809,,
Fuxian,0.196,-7.5,-8.5,-21.103,,
Fuxian,0.231,-6,-9.6,-23.459,,
Fuxian,0.233,-7.1,-10.2,-22.883,,
Fuxian,0.244,-7.1,-9.8,-22.705,,
Fuxian,0.33,-8,-9.9,-22.564,,
Fuxian,0.379,-6.8,-9.1,-23.301,,
Fuxian,0.381,-7.8,-9.2,-23.858,,
Fuxian,0.678,-6.2,-8.8,-23.147,,
Fuxian,0.69,-7.8,-8.4,-22.427,,
Fuxian,0.761,-7.8,-9.7,-22.796,,
Fuxian,0.765,-8,-9.8,-22.741,,
Zhaojiachuan,0.036,-7.8,-10,-23.007,,
Zhaojiachuan,0.043,-7.8,-9.5,-22.987,,
Zhaojiachuan,0.05,-8.1,-9.7,-22.791,,
Zhaojiachuan,0.091,-7.7,-9.6,-21.369,,
Zhaojiachuan,0.097,-6.5,-9.5,-21.876,,
Zhaojiachuan,0.11,-7.4,-9.3,-22.297,,
Zhaojiachuan,0.117,-7.8,-9.2,-22.292,,
Zhaojiachuan,0.123,-6.9,-9.3,-21.72,,
Zhaojiachuan,0.21,-5.5,-8.9,-21.464,,
Zhaojiachuan,0.212,-5.1,-9,-21.985,,
Zhaojiachuan,0.213,-5.3,-8.2,-22.809,,
Zhaojiachuan,0.214,-5.1,-8.7,-21.663,,
Zhaojiachuan,0.215,-5.1,-9.2,-21.156,,
Zhaojiachuan,0.238,-6.7,-9.1,-22.347,,
Zhaojiachuan,0.327,-6.9,-8.4,-22.344,,
Zhaojiachuan,0.328,-6.5,-7.9,-22.96,,
Zhaojiachuan,0.329,-5.6,-8.3,-22.945,,
Zhaojiachuan,0.33,-5.7,-8.5,-21.496,,
Zhaojiachuan,0.384,-8.8,-9.5,-23.898,,
Zhaojiachuan,0.394,-8,-9,-23.918,,
Zhaojiachuan,0.399,-7.9,-8.3,-23.447,,
Zhaojiachuan,0.404,-7.2,-8.7,-22.88,,
Zhaojiachuan,0.409,-7.1,-8.8,-23.192,,
Zhaojiachuan,0.533,-6.5,-9.2,-22.645,,
Zhaojiachuan,0.534,-6.4,-8.5,-23.615,,
Zhaojiachuan,0.535,-6.6,-8.4,-23.491,,
Zhaojiachuan,0.572,-7.3,-8.7,-23.227,,
Zhaojiachuan,0.581,-8.2,-8.2,-22.86,,
Zhaojiachuan,0.698,-4.5,-9.5,-21.356,,
Zhaojiachuan,0.699,-4.8,-9.4,-21.829,,
Zhaojiachuan,0.7,-4.7,-9.3,-21.284,,
Zhaojiachuan,0.702,-4.6,-9.5,-21.424,,
Zhaojiachuan,0.703,-4.8,-9.5,-21.929,,
Zhaojiachuan,0.776,-7.3,-9.2,-23.544,,
Zhaojiachuan,0.776,-7.3,-8.8,-24.073,,
Zhaojiachuan,0.777,-6.9,-8.7,-23.11,,
Zhaojiachuan,0.778,-6.8,-8.5,-23.14,,
Zhaojiachuan,0.778,-7,-8.6,-24.324,,
Luochuan,0.216,-4.5,-8.8,-22.381,,
Luochuan,0.236,-7.1,-7.4,-25.063,,
Luochuan,0.242,-5.1,-9.1,-22.723,,
Luochuan,0.295,-7.3,-8.1,-23.688,,
Luochuan,0.303,-6.3,-9,-24.145,,
Luochuan,0.31,-6.1,-9.6,-23.345,,
Luochuan,0.318,-6.4,-8.6,-23.415,,
Luochuan,0.326,-6.9,-9,-24.652,,
Luochuan,0.332,-7.7,-8,-25.509,,
Luochuan,0.402,-7.8,-9.4,-25.4,,
Luochuan,0.411,-8.3,-8.6,-25.08,,
Luochuan,0.417,-7.9,-9.1,-24.493,,
Luochuan,0.42,-8,-7.5,-24.584,,
Luochuan,0.479,-6.1,-7,-24.335,,
Luochuan,0.584,-6.5,-8.6,-25.588,,
Luochuan,0.589,-6.9,-8.3,-25.465,,
Luochuan,0.698,-6.5,-4.9,-25.14,,
Luochuan,0.771,-7,-9,-25.824,,
Luochuan,0.775,-7.3,-9,-25.534,,
Luochuan,0.778,-7.8,-8.8,-24.689,,
Luochuan,0.781,-8,-7.3,-26.202,,
Luochuan,0.787,-6.7,-9,-25.054,,
Zhaojiachuan,0.878,-5.5,-8.3,-25.203,,
Zhaojiachuan,0.9,-6.1,-9.1,-25.03,,
Zhaojiachuan,0.923,-6.1,-9.4,-25.031,,
Zhaojiachuan,0.929,-6,-8.6,-25.434,,
Zhaojiachuan,0.962,-5.9,-9.6,-24.334,,
Zhaojiachuan,0.965,-5.7,-9.6,-24.293,,
Zhaojiachuan,0.967,-5.9,-8.5,-24.623,,
Zhaojiachuan,0.986,-5.6,-9.1,-23.986,,
Zhaojiachuan,0.989,-6,-8.7,-24.79,,
Zhaojiachuan,1.003,-5.7,-9.6,-24.347,,
Zhaojiachuan,1.041,-5.9,-9.1,-25.114,,
Zhaojiachuan,1.047,-6,-9.9,-24.104,,
Zhaojiachuan,1.062,-6.1,-9.5,-24.826,,
Zhaojiachuan,1.093,-5.6,-9.4,-24.886,,
Zhaojiachuan,1.098,-6.2,-8.8,-24.555,,
Zhaojiachuan,1.137,-5.9,-8.8,-24.765,,
Zhaojiachuan,1.196,-6.3,-9.6,-25.147,,
Zhaojiachuan,1.248,-5.6,-8.8,-25.431,,
Zhaojiachuan,1.26,-5.8,-9.1,-25.569,,
Zhaojiachuan,1.289,-5.6,-9.5,-25.04,,
Zhaojiachuan,1.338,-6,-9.2,-25.827,,
Zhaojiachuan,1.362,-6,-9.6,-24.044,,
Zhaojiachuan,1.373,-6.1,-10,-24.857,,
Zhaojiachuan,1.383,-6.1,-9.5,-25.567,,
Zhaojiachuan,1.409,-5.8,-9.7,-24.642,,
Zhaojiachuan,1.413,-5.8,-9.4,-25.331,,
Zhaojiachuan,1.42,-6,-9.1,-24.855,,
Zhaojiachuan,1.455,-5.9,-9.7,-24.686,,
Zhaojiachuan,1.459,-6,-9.2,-25.543,,
Zhaojiachuan,1.462,-6.1,-9.8,-25.007,,
Zhaojiachuan,1.469,-5.8,-9.6,-25.225,,
Zhaojiachuan,1.501,-6,-9.1,-25.838,,
Zhaojiachuan,1.51,-6.3,-9.5,-26.041,,
Zhaojiachuan,1.538,-6.1,-9.4,-25.457,,
Zhaojiachuan,1.54,-6.5,-9.6,-25.575,,
Zhaojiachuan,1.543,-6,-8.9,-25.288,,
Zhaojiachuan,1.614,-5.9,-9.2,-25.538,,
Zhaojiachuan,1.618,-5.7,-9.2,-25.315,,
Zhaojiachuan,1.622,-5.4,-8.7,-25.718,,
Zhaojiachuan,1.649,-5.5,-8.4,-25.701,,
Zhaojiachuan,1.656,-5.4,-8.3,-25.617,,
Zhaojiachuan,1.663,-5.3,-8.7,-25.706,,
Zhaojiachuan,1.702,-5.9,-8.8,-25.697,,
Zhaojiachuan,1.706,-5.8,-8.8,-26.205,,
Zhaojiachuan,1.711,-5.3,-8.8,-25.73,,
Zhaojiachuan,1.878,-5.4,-8.6,-25.75,,
Zhaojiachuan,1.9,-5.4,-8.7,-25.74,,
Zhaojiachuan,1.915,-5.7,-8.8,-24.755,,
Zhaojiachuan,1.998,-5.6,-9.2,-25.852,,
Zhaojiachuan,2.005,-5.7,-8.9,-25.766,,
Zhaojiachuan,2.013,-5.8,-8.9,-24.722,,
Zhaojiachuan,2.058,-5.6,-9.2,-25.972,,
Zhaojiachuan,2.068,-6,-9.6,-24.689,,
Zhaojiachuan,2.083,-5.8,-9.4,-25.881,,
Zhaojiachuan,2.111,-4.8,-8.1,-25.29,,
Zhaojiachuan,2.113,-5.2,-8.5,-25.378,,
Zhaojiachuan,2.114,-4.4,-9.3,-22.138,,
Zhaojiachuan,2.115,-3.9,-9.2,-22.674,,
Zhaojiachuan,2.118,-4,-8.7,-23.368,,
Zhaojiachuan,2.161,-4.3,-8.7,-24.696,,
Zhaojiachuan,2.238,-4.9,-9.2,-24.884,,
Zhaojiachuan,2.241,-5.3,-9.2,-25.753,,
Zhaojiachuan,2.243,-5.6,-9.1,-24.549,,
Zhaojiachuan,2.25,-5.7,-9.6,-25.747,,
Zhaojiachuan,2.28,-4.8,-9.2,-24.673,,
Zhaojiachuan,2.284,-5,-9.1,-25.474,,
Zhaojiachuan,2.35,-4.9,-9.3,-24.51,,
Zhaojiachuan,2.362,-4.5,-9.1,-24.641,,
Zhaojiachuan,2.373,-4.2,-9.3,-25.437,,
Zhaojiachuan,2.402,-4.1,-9.1,-25.802,,
Zhaojiachuan,2.486,-4.8,-9.4,-25.848,,
Zhaojiachuan,2.517,-4.9,-9,-25.615,,
Zhaojiachuan,2.526,-5.1,-8.7,-25.533,,
Zhaojiachuan,2.595,-4.6,-8.8,-22.396,,
Zhaojiachuan,2.606,-4.2,-9,-22.726,,
Zhaojiachuan,2.617,-4.1,-9.1,-23.08,,
Fuxian,0.805,-7.8,-10,-23.5,,
Fuxian,0.871,-6,-9.1,-23.3,,
Fuxian,0.878,-6.4,-9.3,-23.1,,
Fuxian,0.896,-6.5,-9.7,-23.3,,
Fuxian,0.917,-7,-11.2,-22.8,,
Fuxian,0.923,-6.7,-10.4,-23.2,,
Fuxian,0.924,-7.1,-9.5,-23.4,,
Fuxian,0.93,-6.6,-8.8,-24,,
Fuxian,0.983,-5.6,-9.4,-23.2,,
Fuxian,0.986,-6.5,-9.6,-23.6,,
Fuxian,1.04,-7.3,-10.2,-23.5,,
Fuxian,1.043,-7.6,-11.2,-24.1,,
Fuxian,1.122,-6.4,-9.9,-22.7,,
Fuxian,1.129,-6.8,-9.6,-23.8,,
Fuxian,1.134,-6.4,-9.8,-23,,
Fuxian,1.203,-7.2,-9.6,-23,,
Fuxian,1.208,-7,-8.9,-24.4,,
Fuxian,1.215,-6.7,-9.3,-22.8,,
Fuxian,1.247,-5.1,-9.1,-23.3,,
Fuxian,1.25,-5.3,-9.1,-23.3,,
