age,d13c,d18c,d13o,MS
0.021,-7,-9.3,-23,45
0.026,-7.2,-10.4,-22.9,63
0.07,-7,-9.5,-23.5,34
0.136,-7,-10.2,-22.6,32
0.139,-7.4,-10.9,-22.9,38
0.143,-7.5,-10.4,-23.4,45
0.15,-6.9,-9.7,-23,34
0.179,-6.4,-9.3,-22.7,36
0.259,-6.4,-10,-22.6,39
0.28,-7.1,-10.8,-23.2,48
0.294,-6.8,-10.7,-23.2,41
0.298,-6.4,-9.5,-22.8,37
0.344,-6.7,-10,-23.1,35
0.353,-7,-9.8,-23.7,52
0.362,-6.7,-10,-23,37
0.371,-7.5,-11,-23.7,61
0.434,-7,-10.6,-22.9,59
0.439,-6.4,-9.7,-23,34
0.448,-7,-9.7,-23.2,46
0.46,-7.3,-10.3,-23.2,56
0.468,-7.1,-9.9,-23.5,46
0.648,-7.4,-10.5,-23.7,37
0.657,-7,-10.1,-23.9,28
0.666,-6.8,-10.5,-23.6,39
0.674,-5.8,-9,-23.7,33
0.72,-6.7,-10.4,-23.2,40
0.744,-7.9,-10.5,-24,54
0.754,-8.1,-10.5,-24,73
0.795,-7.6,-9.2,-24,33
0.798,-7.2,-9.8,-23.6,25
0.799,-7.5,-9.5,-23.8,27
0.805,-7.8,-10,-23.5,62
0.871,-6,-9.1,-23.3,29
0.878,-6.4,-9.3,-23.1,25
0.896,-6.5,-9.7,-23.3,31
0.917,-7,-11.2,-22.8,57
0.923,-6.7,-10.4,-23.2,38
0.924,-7.1,-9.5,-23.4,30
0.93,-6.6,-8.8,-24,27
0.983,-5.6,-9.4,-23.2,67
0.986,-6.5,-9.6,-23.6,73
1.04,-7.3,-10.2,-23.5,84
1.043,-7.6,-11.2,-24.1,71
1.122,-6.4,-9.9,-22.7,30
1.129,-6.8,-9.6,-23.8,36
1.134,-6.4,-9.8,-23,34
1.203,-7.2,-9.6,-23,49
1.208,-7,-8.9,-24.4,51
1.215,-6.7,-9.3,-22.8,61
1.247,-5.1,-9.1,-23.3,25
1.25,-5.3,-9.1,-23.3,24
1.263,-6.5,-9.6,-23.2,31
1.287,-6.1,-9.6,-23.2,29
1.29,-5.8,-8.5,-24.4,21
1.303,-6.7,-10.1,-24.8,49
1.329,-7,-10,-23.3,59
1.331,-6.8,-9.6,-25,69
1.338,-6.6,-9.1,-24.7,68
1.343,-6.9,-10.3,-24.6,81
1.375,-6.9,-9.8,-24.8,66
1.377,-6.5,-9.6,-24,49
1.408,-5.7,-10,-23.2,48
1.411,-5.7,-9.3,-23.3,40
1.416,-6,-9,-24.1,57
1.457,-5.7,-9.5,-23.5,46
1.463,-6,-9,-25.8,53
1.465,-6.4,-9.4,-24.3,71
1.494,-6.9,-10.2,-25.3,57
1.499,-6.1,-9.4,-24.5,40
1.504,-5.7,-9.5,-22.9,49
1.623,-6.6,-10.5,-23.9,46
1.644,-5.8,-9.7,-23,43
1.652,-5.7,-9.6,-23.2,24
1.665,-6,-9.4,-24.4,32
1.699,-5.5,-8.8,-23.9,42
1.712,-5.7,-9.4,-24.3,38
1.746,-5.5,-9.5,-24.2,31
1.756,-5.9,-9,-23,35
1.757,-6.1,-9.3,-23.1,47
1.861,-7.2,-9.8,-24.5,89
1.998,-5.6,-9.4,-23.5,38
2.002,-6,-9.2,-23.5,37
2.005,-5.9,-10,-24.1,47
2.055,-4.9,-8.8,-24.5,29
2.065,-5.3,-8.7,-24.3,32
2.075,-5.9,-9.6,-24.3,37
2.155,-4.6,-8.6,-22.6,21
2.16,-4.6,-9.5,-22.6,33
2.165,-4.8,-8.5,-23.6,29
2.237,-4.9,-9.2,-24.8,62
2.243,-5.7,-9.4,-24,78
2.245,-5.8,-10,-23.1,80
2.511,-4.2,-9.2,-23.9,47
2.518,-4.4,-9.2,-22.5,24
2.528,-5.6,-10.2,-24.4,43
2.535,-5.3,-9.3,-24.2,30
