section,SID,age,d13c,d18c,d13o,R,R.sd,MS
Luochuan,110.57,1.827910196,-6.158,-8.824,-24.253,0.58 ,0.16 ,125
Luochuan,113.53,1.929578106,-4.615,-8.974,-23.074,0.69 ,0.11 ,81
Luochuan,113.71,1.935401213,-4.578,-8.963,-23.247,0.76 ,0.12 ,83
Luochuan,114.07,1.947047429,-4.974,-8.804,-23.576,0.71 ,0.11 ,91
Luochuan,114.34,1.95578209,-4.857,-9.211,-23.534,0.70 ,0.11 ,97
Luochuan,114.52,1.961605198,-4.699,-9.276,-23.627,0.77 ,0.12 ,92
Luochuan,117.65,2.043500861,-5.948,-8.836,-23.246,0.52 ,0.19 ,68
Luochuan,117.95,2.049860861,-5.092,-8.881,-22.863,0.63 ,0.23 ,71
Luochuan,118.05,2.051980861,-5.17,-8.555,-23.632,0.74 ,0.24 ,71
Luochuan,120.05,2.103555556,-5.63,-8.037,-24.278,0.67 ,0.17 ,64
Luochuan,120.45,2.114444444,-4.743,-9.176,-23.172,0.69 ,0.18 ,67
Luochuan,121.05,2.130777778,-4.22,-8.696,-23.923,1.03 ,0.25 ,62
Luochuan,124.32,2.254661417,-4.686,-8.661,-24.629,0.96 ,0.27 ,67
Luochuan,124.41,2.26288189,-5.11,-8.388,-23.451,0.68 ,0.23 ,75
Luochuan,124.78,2.296677165,-6.486,-6.744,-24.485,0.55 ,0.19 ,104
Luochuan,125.59,2.341739528,-4.466,-8.722,-23.787,0.83 ,0.17 ,72
Luochuan,126.31,2.349659528,-5.682,-8.39,-23.542,0.56 ,0.13 ,85
Luochuan,126.4,2.350649528,-5.701,-8.235,-23.526,0.53 ,0.12 ,86
Luochuan,126.49,2.351639528,-4.988,-7.829,-23.822,0.70 ,0.14 ,87
Luochuan,126.67,2.353619528,-4.707,0,-23.935,0.76 ,0.15 ,76
Luochuan,135.9,2.549910308,-6.787,-6.957,-24.057,0.46 ,0.24 ,191
Luochuan,135.99,2.553319399,-7.167,-7.125,-24.145,0.42 ,0.23 ,199
Luochuan,136.17,2.560137581,-7.306,-3.026,-24.317,0.41 ,0.23 ,181
Luochuan,136.35,2.566955763,-4.305,-9.003,-23.055,0.83 ,0.39 ,147
Luochuan,136.62,2.577183036,-4.221,-8.866,-22.843,0.91 ,0.44 ,117
